inter_id,user_id,book_id,借阅时间,还书时间,续借时间,续借次数,题名,作者,出版社,二级分类,性别,年级,类型,借阅月份,是否学期内,交互权重,DEPT,dept_book_preference,dept_cat1_preference
62214,956,34559,2020-12-07 17:45:20,2021-01-06 17:45:20,,0,风格与世变:中国绘画十论,石守谦著,北京大学出版社,绘画艺术史,F,20,硕士,12,1,1.0,艺术学院,0.8333333326388889,0.3820243181065034
101794,823,44480,2021-01-05 10:53:59,2021-02-04 10:53:59,,0,结构动力学,"刘章军, 陈建兵, 彭勇波编著",中国建筑工业出版社,结构力学,M,19,硕士,1,1,1.0,土木工程学院,0.999999995,0.14563106796085085
30712,124,18999,2022-03-05 21:51:14,2022-04-04 21:51:14,,0,沟通力:卡耐基最受欢迎的口才技巧和处世艺术,(美) 戴尔·卡耐基著,中华工商联合出版社,朗诵法、演讲术,M,18,本科,3,1,1.0,自动化学院,0.9999999900000002,0.03356643356627708
8523,947,30678,2020-12-09 16:37:08,2021-01-08 16:37:08,2020-12-29 16:37:08,2,傲慢与偏见,(英) 简·奥斯汀著,中国宇航出版社, 英国,F,20,硕士,12,1,1.4,人文学院,0.179999999982,0.39006709339061457
80897,381,45090,2021-04-14 16:49:21,2021-05-14 16:49:21,,0,费曼讲物理.相对论,(美) R. P. 费曼著,湖南科学技术出版社,相对论、场论,M,20,本科,4,1,1.0,能源与环境学院,0.4999999975,0.10083837913344006
58316,183,32731,2021-11-19 17:02:13,2021-12-19 17:02:13,,0,Zootopia /,Diseney,"华东理工大学出版社,", 北美洲,F,19,本科,11,1,1.0,经济管理学院,0.9999999966666667,0.3134883720925372
82632,1437,39120,2024-06-13 16:08:18,2024-07-13 16:08:18,2024-07-03 16:08:18,2,吴宓:理想的使者,张弘著,文津出版社,人物传记：按学科分,M,24,博士,6,1,1.4,化学化工学院,0.9999999900000002,0.05534779356727489
45217,168,27167,2020-07-29 14:18:16,2020-08-28 14:18:16,,0,中国年度散文,"《散文选刊》选编, 王剑冰主编",漓江出版社,当代作品（1949年~）,F,19,本科,7,1,1.0,人文学院,0.9999999900000002,0.39006709339061457
91782,539,51635,2024-03-29 18:28:43,2024-04-28 18:28:43,2024-04-13 18:28:43,1,深度学习:卷积神经网络技术与实践:convolutional neural network technology and practice,高敬鹏著,机械工业出版社,自动推理、机器学习,M,21,本科,3,1,1.2,数学学院,0.9999999900000002,0.10911045417869092
60742,162,33750,2020-09-30 19:50:23,2020-10-30 19:50:23,,0,立体构成,"主编郭宜章, 孙宇萱, 徐慧丽",中国青年出版社,构图学,F,19,本科,9,1,1.0,艺术学院,0.9999999900000002,0.3820243181065034
32212,435,20100,2022-02-27 16:54:39,2022-03-29 16:54:39,,0,英汉翻译教程,樊永前编著,中国石化出版社,写作、修辞,M,21,本科,2,1,1.0,土木工程学院,0.9999999900000002,0.02804746494060831
94447,250,52743,2021-12-17 11:41:17,2022-01-16 11:41:17,,0,Python深度学习,(美) 弗朗索瓦·肖莱著,人民邮电出版社,程序设计、软件工程,F,19,本科,12,1,1.0,物理学院,0.4285714279591837,0.15613182063664977
4220,283,2402,2022-11-23 14:29:20,2022-12-23 14:29:20,,0,面向思的事情,(德) 海德格尔著,商务印书馆,德国哲学,M,20,本科,11,1,1.0,人文学院,0.9999999900000002,0.2005089843447208
44649,1266,26786,2022-01-11 21:33:04,2022-02-10 21:33:04,,0,半生为人,徐晓作品,中信出版社,回忆录,F,18,博士,1,1,1.0,经济管理学院,0.9999999900000002,0.3134883720925372
41236,502,25527,2023-03-04 21:38:27,2023-04-03 21:38:27,,0,恰逢雨连天,沉筱之著,青岛出版社,当代作品（1949年~）,F,21,本科,3,1,1.0,外国语学院,0.6666666644444444,0.4662661737501559
96682,812,54322,2020-09-11 19:48:09,2020-10-11 19:48:09,,0,MATLAB基础与实例教程,闻新 ... [等] 编著,国防工业出版社,程序语言、算法语言,M,19,硕士,9,1,1.0,能源与环境学院,0.999999995,0.19771774569120235
68119,771,38556,2021-03-27 14:52:25,2021-04-26 14:52:25,,0,非洲史,"埃里克·吉尔伯特, 乔纳森·T. 雷诺兹著",海南出版社,通史,M,18,硕士,3,1,1.0,自动化学院,0.9999999900000002,0.048018648018424155
85304,1437,47857,2024-07-16 21:38:36,2024-08-15 21:38:36,2024-08-05 21:38:36,2,压电振动能量收集:建模与实验:modeling & experiments,(瑞典) Sajid Rafique著,国防工业出版社,振动与噪声的发生,M,24,博士,7,1,1.4,化学化工学院,0.9999999900000002,0.17801047120285707
18389,605,10695,2022-09-20 13:52:24,2022-10-20 13:52:24,2022-10-05 13:52:24,1,论犯罪与刑罚,(意) 切萨雷·贝卡里亚,北京大学出版社,犯罪学,F,22,本科,9,1,1.2,人文学院,0.5999999988,0.08382817922411982
33385,699,28544,2023-11-23 20:52:14,2023-12-23 20:52:14,,0,雪国,(日) 川端康成著,青岛出版社, 日本,M,23,本科,11,1,1.0,电气工程学院,0.08450704224161873,0.32668528121130164
25490,1330,15238,2023-09-07 10:33:11,2023-10-07 10:33:11,2023-09-22 10:33:11,1,公司治理与公司决策,杨菁菁著,中国社会科学出版社,各种企业经济,F,20,博士,9,1,1.2,经济管理学院,0.999999995,0.23550387596862712
333,86,148,2022-02-25 19:43:41,2022-03-27 19:43:41,2022-03-12 19:43:41,1,"马克思, 其可能性的中心:the heart of his possibilities",(日) 柄谷行人著,中央编译出版社,马克思、恩格斯著作的学习和研究,M,18,本科,2,1,1.2,人文学院,0.6666666644444444,0.008560191254716926
10674,561,6116,2024-03-03 16:15:47,2024-04-02 16:15:47,2024-03-23 16:15:47,2,博弈与社会讲义.第2版,张维迎著,格致出版社,社会学,F,21,本科,3,1,1.4,经济管理学院,0.9999999900000002,0.06031007751928634
52873,1144,30463,2023-11-29 13:32:45,2023-12-29 13:32:45,2023-12-14 13:32:45,1,十日谈:全译本,(意) 卜迦丘著,百花洲文艺出版社, 南欧（东南欧、西南欧）,M,23,硕士,11,1,1.2,能源与环境学院,0.11538461534023668,0.4103400093143681
56978,385,32057,2020-11-05 21:40:40,2020-12-05 21:40:40,2020-11-25 21:40:40,2,与诗书在一起.第2版,叶嘉莹,生活·读书·新知三联书店, 北美洲,M,20,本科,11,1,1.4,电气工程学院,0.9999999900000002,0.32668528121130164
70613,886,33922,2020-10-13 18:41:16,2020-11-12 18:41:16,,0,图像证史.第2版,(英) 彼得·伯克著,北京大学出版社,艺术史、艺术思想史,F,19,硕士,10,1,1.0,艺术学院,0.999999995,0.3820243181065034
84231,1062,47179,2024-05-12 16:04:43,2024-06-11 16:04:43,2024-05-27 16:04:43,1,响应面方法的改进及其对工程优化的应用,"隋允康, 宇慧平著",科学出版社,计算数学的应用,M,22,硕士,5,1,1.2,土木工程学院,0.4999999975,0.24768069039860263
75964,775,42802,2021-08-02 15:58:00,2021-09-01 15:58:00,,0,常微分方程与动力系统概论.第2版,"主编贺小明, 彭名书",北京理工大学出版社,微分方程、积分方程,M,18,硕士,8,0,1.0,经济管理学院,0.9999999900000002,0.05658914728673397
82081,1029,52123,2023-06-28 18:58:53,2023-07-28 18:58:53,2023-07-18 18:58:53,2,控制系统计算机辅助设计:MATLAB语言与应用:using MATLAB language.第3版,薛定宇著,清华大学出版社,自动控制、自动控制系统,M,22,硕士,6,1,1.4,机械工程学院,0.9999999900000002,0.3115819209030746
102776,377,58461,2021-04-16 21:51:53,2021-05-16 21:51:53,,0,"万物有意思,科学探秘.下册",北京日报《万物》编写组编著,北京日报出版社,综合性普及读物,M,20,本科,4,1,1.0,能源与环境学院,0.9999999900000002,0.0027945971122431425
46474,1385,27170,2023-08-24 19:53:24,2023-09-23 19:53:24,2023-09-13 19:53:24,2,病隙碎笔:纪念版,史铁生著,湖南文艺出版社,当代作品（1949年~）,F,22,博士,8,0,1.4,土木工程学院,0.15384615372781063,0.2919093851126388
49242,891,28581,2022-11-11 20:28:21,2022-12-11 20:28:21,,0,且听风吟,村上春树著,上海译文出版社, 日本,M,20,硕士,11,1,1.0,机械工程学院,0.14285714280612244,0.2824858757054167
49416,1062,27381,2022-11-06 18:19:22,2022-12-06 18:19:22,,0,文化苦旅,"余秋雨,",作家出版社,当代作品（1949年~）,M,22,硕士,11,1,1.0,土木工程学院,0.11538461534023668,0.2919093851126388
100370,672,56724,2023-10-18 11:26:51,2023-11-17 11:26:51,2023-11-02 11:26:51,1,折纸建筑世界名建筑,"(日) 茶谷正洋, 木原隆明著",中国电力出版社,设计资料、设计图,M,23,本科,10,1,1.2,人文学院,0.9999999900000002,0.025140741883222687
56526,1016,31886,2023-11-05 08:30:41,2023-12-05 08:30:41,,0,墓园的花要常换水,(法) 瓦莱莉·佩兰著,人民文学出版社, 法国,F,21,硕士,11,1,1.0,艺术学院,0.9999999900000002,0.1912586263552559
99920,261,31459,2020-10-12 18:36:42,2020-11-11 18:36:42,2020-10-27 18:36:42,1,诺桑觉寺,(英) 简·奥斯丁著,译林出版社, 英国,F,19,本科,10,1,1.2,法学院,0.4999999975,0.19608567208235583
87506,385,49180,2022-09-02 18:36:10,2022-10-02 18:36:10,,0,电力系统分析学习指导,"孙玉梅, 刘学军, 王晶晶编著",中国电力出版社,网络分析、电力系统分析,M,20,本科,9,1,1.0,电气工程学院,0.6666666644444444,0.321499800557154
48295,441,28425,2022-12-03 18:48:45,2023-01-02 18:48:45,,0,金阁寺,三岛由纪夫,上海译文出版社, 日本,F,21,本科,12,1,1.0,艺术学院,0.046296296292009605,0.1912586263552559
24448,1367,14439,2023-07-25 13:33:36,2023-08-24 13:33:36,2023-08-14 13:33:36,2,空间计量经济学:现代模型与方法:modern models and methods,"王周伟, 崔百胜, 张元庆编著",北京大学出版社,经济数学方法,M,22,博士,7,1,1.4,经济管理学院,0.6666666644444444,0.23550387596862712
88489,516,49709,2024-02-19 16:57:49,2024-03-20 16:57:49,,0,数字集成电路:电路、系统与设计:a design perspective,"(美) Jan M. Rabaey, (美) Anantha Chandrakasan, (美) Borivoje Nikolic著",电子工业出版社,双极型,M,21,本科,2,1,1.0,电子科学与工程学院,0.13253012046596024,0.31316348195218274
12906,1279,7337,2022-12-14 10:19:24,2023-01-13 10:19:24,,0,瞬变:如何让你的世界变好一些:how to change things when change is hard,"(美) 奇普·希思, 丹·希思著",中信出版社,决策学,F,19,博士,12,1,1.0,土木工程学院,0.9999999900000002,0.023300970873736136
57211,81,32169,2021-10-11 20:10:43,2021-11-10 20:10:43,2021-10-26 20:10:43,1,了不起的盖茨比,(美) F·S·菲茨杰拉德著,上海译文出版社, 北美洲,M,18,本科,10,1,1.2,经济管理学院,0.1025641025553364,0.3134883720925372
68597,337,8742,2022-10-27 21:52:32,2022-11-26 21:52:32,2022-11-11 21:52:32,1,置身事内:中国政府与经济发展,兰小欢著,上海人民出版社,国家机关工作与人事管理,M,20,本科,10,1,1.2,经济管理学院,0.24999999989583332,0.03457364341079911
5990,310,3323,2023-12-04 19:42:23,2024-01-03 19:42:23,,0,自我、他人与道德:道德哲学导论,徐向东著,商务印书馆,伦理学(道德哲学),M,20,本科,12,1,1.0,人文学院,0.9999999966666667,0.2005089843447208
15353,450,173,2022-03-15 20:48:34,2022-04-14 20:48:34,2022-03-30 20:48:34,1,《马克思主义基本原理概论》要点与试题,"张炳奎, 宋国兴编",北京大学出版社,马克思、恩格斯著作的学习和研究,M,21,本科,3,1,1.2,法学院,0.4999999975,0.005723781388468014
6743,547,3715,2024-10-16 17:38:30,2024-11-15 17:38:30,,0,当下的力量:新版.第2版,(德) 埃克哈特·托利著,中信出版社,人生观、人生哲学,F,21,本科,10,1,1.0,人文学院,0.3333333322222222,0.2005089843447208
32920,388,20638,2021-06-29 16:36:46,2021-07-29 16:36:46,2021-07-19 16:36:46,2,浅论精神病学,Tom Burns著,外语教学与研究出版社,语文教学,M,20,本科,6,1,1.4,能源与环境学院,0.9999999900000002,0.023288309268692856
83299,10,46476,2021-12-28 19:30:00,2022-01-27 19:30:00,,0,自私的基因.第2版,(英) 理查德·道金斯著,中信出版社,细胞遗传学,F,18,本科,12,1,1.0,数学学院,0.4999999975,0.001343724805156292
90564,344,50838,2024-03-23 21:56:31,2024-04-22 21:56:31,,0,无线通信基础,"(美) David Tse, Pramod Viswanath著",人民邮电出版社,无线通信,F,20,本科,3,1,1.0,信息科学与工程学院,0.7999999984,0.2571626617369289
15121,1331,8717,2024-04-10 08:31:04,2024-05-10 08:31:04,,0,中国应急管理发展报告.2023.2023,主编马宝成,社会科学文献出版社,国家行政管理,F,20,博士,4,1,1.0,法学院,0.9999999900000002,0.5291728212693332
88876,256,49973,2022-08-10 17:07:04,2022-09-09 17:07:04,2022-08-25 17:07:04,1,射频电路理论与设计.第2版,黄玉兰编著,人民邮电出版社,电子电路,M,19,本科,8,0,1.2,信息科学与工程学院,0.9999999900000002,0.2571626617369289
68746,798,24363,2021-02-19 08:30:26,2021-03-21 08:30:26,,0,黄金时代,王小波著,长江文艺出版社,当代作品（1949年~）,M,18,硕士,2,1,1.0,艺术学院,0.12941176469065746,0.1912586263552559
22362,1297,13263,2021-05-24 21:47:44,2021-06-23 21:47:44,,0,三十六计的心理智慧,杨晴编著,中国纺织出版社,中国,F,19,博士,5,1,1.0,物理学院,0.3333333322222222,0.003241491085882002
93079,1021,52191,2023-05-18 18:41:51,2023-06-17 18:41:51,,0,模型预测控制,陈虹著,科学出版社,自动控制、自动控制系统,M,22,硕士,5,1,1.0,机械工程学院,0.4285714279591837,0.3115819209030746
83325,1107,23874,2023-09-26 20:04:41,2023-10-26 20:04:41,2023-10-11 20:04:41,1,给你写信,李娟,中华书局,当代作品（1949年~）,F,22,硕士,9,1,1.2,法学院,0.4999999975,0.19608567208235583
54588,525,30649,2023-06-15 17:15:20,2023-07-15 17:15:20,2023-07-05 17:15:20,2,美丽新世界,(英)阿道司·赫胥黎著,九州出版社, 英国,F,21,本科,6,1,1.4,人文学院,0.18181818179981635,0.39006709339061457
23697,1253,14032,2024-10-31 10:00:33,2024-11-30 10:00:33,,0,世界经济通史,(德) 马克斯·韦伯著,民主与建设出版社,世界经济史,M,24,硕士,10,1,1.0,人文学院,0.9999999900000002,0.03393228965833737
66428,493,37523,2022-08-11 17:45:06,2022-09-10 17:45:06,,0,史记通解,"张大可, 丁德科通解",商务印书馆,古代史籍,M,21,本科,8,0,1.0,人文学院,0.9999999900000002,0.05753065473890836
57673,169,32257,2021-11-29 09:39:36,2021-12-29 09:39:36,2021-12-14 09:39:36,1,瓦尔登湖,(美) 亨利·戴维·梭罗著,作家出版社有限公司, 北美洲,F,19,本科,11,1,1.2,电气工程学院,0.03225806451092612,0.32668528121130164
102169,996,58004,2023-03-28 16:35:00,2023-04-27 16:35:00,2023-04-17 16:35:00,2,基于动态交通信息的车辆路径优化,段征宇著,同济大学出版社,交通工程与交通管理,F,21,硕士,3,1,1.4,经济管理学院,0.9999999900000002,0.002635658914724596
12919,261,7349,2022-11-10 18:52:05,2022-12-10 18:52:05,,0,吃掉那只青蛙:博恩·崔西的高效时间管理法则,(美) 博恩·崔西著,机械工业出版社,管理计划和控制,F,19,本科,11,1,1.0,法学院,0.4999999975,0.026957163958591292
81187,1328,45252,2022-08-25 21:55:14,2022-09-24 21:55:14,2022-09-09 21:55:14,1,量子科技公开课,蔡恒进 ... [等] 著,人民出版社,量子论,M,20,博士,8,0,1.2,人文学院,0.9999999900000002,0.013110202822539437
71837,61,41094,2020-10-20 18:47:34,2020-11-19 18:47:34,2020-11-09 18:47:34,2,无标度网络,作者陈庆华,上海大学出版社,系统学、现代系统理论,M,18,本科,10,1,1.4,经济管理学院,0.999999995,0.003720930232552371
70238,1436,53442,2024-06-28 19:20:18,2024-07-28 19:20:18,,0,Genetic programming : on the programming of computers by means of natural selection /,"Koza, John R.","MIT Press,",程序设计、软件工程,M,24,博士,6,1,1.0,电子科学与工程学院,0.9999999900000002,0.31316348195218274
55698,347,31576,2024-03-11 12:01:44,2024-04-10 12:01:44,2024-03-31 12:01:44,2,疼痛部,(荷) 杜布拉夫卡·乌格雷西奇著,北京日报出版社, 西欧,F,20,本科,3,1,1.4,人文学院,0.9999999900000002,0.39006709339061457
85597,45,48070,2022-01-02 09:18:02,2022-02-01 09:18:02,2022-01-22 09:18:02,2,机械原理与机械设计.上册.第2版,"范元勋, 张庆主编",清华大学出版社,机械原理,M,18,本科,1,1,1.4,土木工程学院,0.9999999900000002,0.24768069039860263
33406,959,20942,2021-03-01 16:24:43,2021-03-31 16:24:43,,0,法语全攻略,(法) 加埃尔·格雷厄姆著,上海译文出版社,法语,F,20,硕士,3,1,1.0,艺术学院,0.9999999900000002,0.015609595793599064
79265,1142,44272,2023-11-05 08:42:23,2023-12-05 08:42:23,,0,高等应用数学问题的MATLAB求解.第5版,薛定宇著,清华大学出版社,应用数学,M,23,硕士,11,1,1.0,能源与环境学院,0.249999999375,0.10083837913344006
21688,1331,18482,2024-03-19 19:34:29,2024-04-18 19:34:29,,0,如何阅读一本书,"(美) 莫提默·J. 艾德勒, 查尔斯·范多伦著",商务印书馆,家庭教育,F,20,博士,3,1,1.0,法学院,0.2857142853061225,0.026772525849285873
11247,520,24782,2023-06-27 18:27:15,2023-07-27 18:27:15,,0,默读.II,Priest著,北京联合出版公司,当代作品（1949年~）,F,21,本科,6,1,1.0,电子科学与工程学院,0.16666666638888888,0.2990092002820276
81010,330,45162,2021-05-17 21:47:22,2021-06-16 21:47:22,,0,上帝掷骰子吗?:量子物理史话:= History of quantum physics,曹天元著,北京联合出版公司,量子论,F,20,本科,5,1,1.0,人文学院,0.3333333322222222,0.013110202822539437
56144,432,32122,2023-08-17 16:18:53,2023-09-16 16:18:53,2023-09-06 16:18:53,2,在路上,杰克·凯鲁亚克,上海译文出版社, 北美洲,F,21,本科,8,0,1.4,人文学院,0.26666666648888887,0.39006709339061457
99818,114,56333,2023-03-04 18:55:15,2023-04-03 18:55:15,,0,建筑的复杂性与矛盾性,(美) 罗伯特·文丘里著,中国水利水电出版社,工业技术,F,18,本科,3,1,1.0,人文学院,0.999999995,0.025140741883222687
24798,460,14737,2023-12-22 09:55:37,2024-01-21 09:55:37,,0,基于区块链的供应链信息共享机制与管理模式研究,付永贵著,人民邮电出版社,物资流通费用、资金和利润,M,21,本科,12,1,1.0,经济管理学院,0.9999999900000002,0.23550387596862712
7418,963,4066,2022-06-19 18:55:22,2022-07-19 18:55:22,,0,气氛美学:essays zur neuen ?sthetik,(德) 格诺特·波默著,中国社会科学出版社,美学,F,20,硕士,6,1,1.0,艺术学院,0.9999999966666667,0.09579362471229741
94262,378,52939,2023-02-27 10:09:58,2023-03-29 10:09:58,2023-03-19 10:09:58,2,复杂性思考,Allen B. Downey著,机械工业出版社,程序设计、软件工程,M,20,本科,2,1,1.4,数学学院,0.9999999900000002,0.10911045417869092
21787,1331,2166,2024-04-02 08:31:41,2024-05-02 08:31:41,,0,忏悔录.英汉对照全译本,(古罗马) 圣奥古斯丁著,中国社会科学出版社,中世纪哲学(欧洲),F,20,博士,4,1,1.0,法学院,0.07142857137755101,0.04597488921704953
97481,384,30744,2023-08-31 08:59:21,2023-09-30 08:59:21,,0,福尔摩斯探案全集,(英) 阿瑟·柯南道尔著,译林出版社, 英国,M,20,本科,8,0,1.0,自动化学院,0.09374999998535158,0.2270396270385686
29159,255,17812,2021-03-12 17:41:56,2021-04-11 17:41:56,,0,局外人看科学,(英) 巴里·巴恩斯著,东方出版社,科学研究理论,M,19,本科,3,1,1.0,人文学院,0.9999999966666667,0.026066167964813706
69192,55,39285,2020-09-13 17:34:12,2020-10-13 17:34:12,,0,钱学森传,奚启新著,人民出版社,自然科学、工程技术,M,18,本科,9,1,1.0,机械工程学院,0.9999999900000002,0.03559322033888251
18410,1006,28698,2022-07-11 16:07:22,2022-08-10 16:07:22,,0,我是猫,(日) 夏目漱石著,上海译文出版社, 日本,M,21,硕士,7,1,1.0,法学院,0.08139534882774473,0.19608567208235583
56956,143,32047,2023-10-08 10:02:57,2023-11-07 10:02:57,2023-10-28 10:02:57,2,亲爱的生活,(加) 艾丽丝·门罗著,北京十月文艺出版社, 北美洲,F,19,本科,10,1,1.4,外国语学院,0.4999999975,0.4662661737501559
40622,339,25681,2023-02-22 21:51:31,2023-03-24 21:51:31,,0,"十宗罪.2,中国十大变态凶杀案",蜘蛛著,湖南文艺出版社,当代作品（1949年~）,F,20,本科,2,1,1.0,人文学院,0.6666666644444444,0.39006709339061457
27748,918,16866,2020-11-09 11:09:38,2020-12-09 11:09:38,2020-11-24 11:09:38,1,"行为金融:心理、决策和市场:psychology, decision-making, and markets","(美) 露西 F. 阿科特, (加) 理查德·迪弗斯著",机械工业出版社,金融、银行理论,M,20,硕士,11,1,1.2,经济管理学院,0.9999999900000002,0.23550387596862712
94217,206,52904,2021-12-18 18:34:36,2022-01-17 18:34:36,,0,数据库原理习题与解析-第3版,"李春葆, 曾慧编著",清华大学出版社,程序设计、软件工程,F,19,本科,12,1,1.0,物理学院,0.9999999900000002,0.15613182063664977
61934,687,7016,2024-09-29 19:32:05,2024-10-29 19:32:05,,0,人口版图:the future of humanity in ten numbers,(英) 保罗·莫兰著,中信出版集团,世界各国人口调查及其研究,M,23,本科,9,1,1.0,能源与环境学院,0.4999999975,0.027014438751683714
13190,310,7510,2022-12-02 20:38:58,2023-01-01 20:38:58,,0,政治哲学,(美) 史蒂芬·B·斯密什,北京联合出版公司,政治理论,M,20,本科,12,1,1.0,人文学院,0.999999995,0.08382817922411982
53145,56,30682,2021-07-07 12:07:16,2021-08-06 12:07:16,,0,烟与镜,(英) 尼尔·盖曼著,人民文学出版社, 英国,F,18,本科,7,1,1.0,人文学院,0.4999999975,0.39006709339061457
53617,77,30836,2021-05-26 18:04:22,2021-06-25 18:04:22,2021-06-10 18:04:22,1,克拉拉与太阳,(英) 石黑一雄著,上海译文出版社有限公司, 英国,M,18,本科,5,1,1.2,计算机科学与工程学院,0.2222222219753086,0.4067046173282309
10338,44,5950,2021-07-21 11:23:31,2021-08-20 11:23:31,,0,西方社会学理论教程.第4版,主编侯钧生,南开大学出版社,社会学,M,18,本科,7,1,1.0,机械工程学院,0.07142857137755101,0.020338983050790002
21630,1250,12810,2024-11-13 12:55:18,2024-12-13 12:55:18,2024-11-28 12:55:18,1,德国侵权法:侵权行为、损害赔偿及痛苦抚慰金,"(德) 埃尔温·多伊奇, 汉斯-于尔根·阿伦斯著",中国人民大学出版社, 欧洲法律,M,24,硕士,11,1,1.2,法学院,0.999999995,0.5291728212693332
67203,364,38028,2023-05-09 16:53:40,2023-06-08 16:53:40,,0,南宋文人与党争,沈松勤著,人民出版社,南宋（1127~1279年）,F,20,本科,5,1,1.0,人文学院,0.999999995,0.05753065473890836
11546,702,6245,2024-08-29 12:11:52,2024-09-28 12:11:52,2024-09-13 12:11:52,1,乡土中国 生育制度 乡土重建,费孝通著,商务印书馆,社会结构和社会关系,F,23,本科,8,0,1.2,法学院,0.3999999992,0.026957163958591292
37496,880,23601,2021-06-30 21:46:24,2021-07-30 21:46:24,,0,楚辞评注.第2版,汤漳平评注,上海三联书店,古代至近代作品（~1919年）,F,19,硕士,6,1,1.0,艺术学院,0.4999999975,0.1912586263552559
42560,704,24391,2023-10-25 17:56:20,2023-11-24 17:56:20,,0,在细雨中呼喊,余华作品,作家出版社,当代作品（1949年~）,M,23,本科,10,1,1.0,土木工程学院,0.11392405061849063,0.2919093851126388
32053,38,19980,2021-11-16 17:42:32,2021-12-16 17:42:32,,0,留学申请写作模板:个人陈述·推荐信·简历,"包凡一, 王薇编著",群言出版社,写作、修辞,F,18,本科,11,1,1.0,数学学院,0.9999999900000002,0.027680730986219617
70037,180,39906,2023-09-02 21:34:49,2023-10-02 21:34:49,,0,I want to be a mathematician : an automathography /,"Halmos, Paul R.,","Springer-Verlag,", 美洲人物传记,M,19,本科,9,1,1.0,数学学院,0.9999999900000002,0.03574307981715737
