inter_id,user_id,book_id,借阅时间,还书时间,续借时间,续借次数,题名,作者,出版社,一级分类,二级分类,性别,DEPT,年级,类型
10674,561,6116,2024-03-03 16:15:47,2024-04-02 16:15:47,2024-03-23 16:15:47,2,博弈与社会讲义.第2版,张维迎著,格致出版社,社会科学总论,社会学,F,经济管理学院,21,本科
52873,1144,30463,2023-11-29 13:32:45,2023-12-29 13:32:45,2023-12-14 13:32:45,1,十日谈:全译本,(意) 卜迦丘著,百花洲文艺出版社,文学, 南欧（东南欧、西南欧）,M,能源与环境学院,23,硕士
56978,385,32057,2020-11-05 21:40:40,2020-12-05 21:40:40,2020-11-25 21:40:40,2,与诗书在一起.第2版,叶嘉莹,生活·读书·新知三联书店,文学, 北美洲,M,电气工程学院,20,本科
70613,886,33922,2020-10-13 18:41:16,2020-11-12 18:41:16,,0,图像证史.第2版,(英) 彼得·伯克著,北京大学出版社,艺术,艺术史、艺术思想史,F,艺术学院,19,硕士
84231,1062,47179,2024-05-12 16:04:43,2024-06-11 16:04:43,2024-05-27 16:04:43,1,响应面方法的改进及其对工程优化的应用,"隋允康, 宇慧平著",科学出版社,工业技术,计算数学的应用,M,土木工程学院,22,硕士
75964,775,42802,2021-08-02 15:58:00,2021-09-01 15:58:00,,0,常微分方程与动力系统概论.第2版,"主编贺小明, 彭名书",北京理工大学出版社,数理科学和化学,微分方程、积分方程,M,经济管理学院,18,硕士
82081,1029,52123,2023-06-28 18:58:53,2023-07-28 18:58:53,2023-07-18 18:58:53,2,控制系统计算机辅助设计:MATLAB语言与应用:using MATLAB language.第3版,薛定宇著,清华大学出版社,工业技术,自动控制、自动控制系统,M,机械工程学院,22,硕士
102776,377,58461,2021-04-16 21:51:53,2021-05-16 21:51:53,,0,"万物有意思,科学探秘.下册",北京日报《万物》编写组编著,北京日报出版社,综合性图书,综合性普及读物,M,能源与环境学院,20,本科
46474,1385,27170,2023-08-24 19:53:24,2023-09-23 19:53:24,2023-09-13 19:53:24,2,病隙碎笔:纪念版,史铁生著,湖南文艺出版社,文学,当代作品（1949年~）,F,土木工程学院,22,博士
49242,891,28581,2022-11-11 20:28:21,2022-12-11 20:28:21,,0,且听风吟,村上春树著,上海译文出版社,文学, 日本,M,机械工程学院,20,硕士
49416,1062,27381,2022-11-06 18:19:22,2022-12-06 18:19:22,,0,文化苦旅,"余秋雨,",作家出版社,文学,当代作品（1949年~）,M,土木工程学院,22,硕士
100370,672,56724,2023-10-18 11:26:51,2023-11-17 11:26:51,2023-11-02 11:26:51,1,折纸建筑世界名建筑,"(日) 茶谷正洋, 木原隆明著",中国电力出版社,工业技术,设计资料、设计图,M,人文学院,23,本科
56526,1016,31886,2023-11-05 08:30:41,2023-12-05 08:30:41,,0,墓园的花要常换水,(法) 瓦莱莉·佩兰著,人民文学出版社,文学, 法国,F,艺术学院,21,硕士
99920,261,31459,2020-10-12 18:36:42,2020-11-11 18:36:42,2020-10-27 18:36:42,1,诺桑觉寺,(英) 简·奥斯丁著,译林出版社,文学, 英国,F,法学院,19,本科
87506,385,49180,2022-09-02 18:36:10,2022-10-02 18:36:10,,0,电力系统分析学习指导,"孙玉梅, 刘学军, 王晶晶编著",中国电力出版社,工业技术,网络分析、电力系统分析,M,电气工程学院,20,本科
48295,441,28425,2022-12-03 18:48:45,2023-01-02 18:48:45,,0,金阁寺,三岛由纪夫,上海译文出版社,文学, 日本,F,艺术学院,21,本科
24448,1367,14439,2023-07-25 13:33:36,2023-08-24 13:33:36,2023-08-14 13:33:36,2,空间计量经济学:现代模型与方法:modern models and methods,"王周伟, 崔百胜, 张元庆编著",北京大学出版社,经济,经济数学方法,M,经济管理学院,22,博士
88489,516,49709,2024-02-19 16:57:49,2024-03-20 16:57:49,,0,数字集成电路:电路、系统与设计:a design perspective,"(美) Jan M. Rabaey, (美) Anantha Chandrakasan, (美) Borivoje Nikolic著",电子工业出版社,工业技术,双极型,M,电子科学与工程学院,21,本科
12906,1279,7337,2022-12-14 10:19:24,2023-01-13 10:19:24,,0,瞬变:如何让你的世界变好一些:how to change things when change is hard,"(美) 奇普·希思, 丹·希思著",中信出版社,社会科学总论,决策学,F,土木工程学院,19,博士
57211,81,32169,2021-10-11 20:10:43,2021-11-10 20:10:43,2021-10-26 20:10:43,1,了不起的盖茨比,(美) F·S·菲茨杰拉德著,上海译文出版社,文学, 北美洲,M,经济管理学院,18,本科
68597,337,8742,2022-10-27 21:52:32,2022-11-26 21:52:32,2022-11-11 21:52:32,1,置身事内:中国政府与经济发展,兰小欢著,上海人民出版社,政治、法律,国家机关工作与人事管理,M,经济管理学院,20,本科
5990,310,3323,2023-12-04 19:42:23,2024-01-03 19:42:23,,0,自我、他人与道德:道德哲学导论,徐向东著,商务印书馆,哲学、宗教,伦理学(道德哲学),M,人文学院,20,本科
15353,450,173,2022-03-15 20:48:34,2022-04-14 20:48:34,2022-03-30 20:48:34,1,《马克思主义基本原理概论》要点与试题,"张炳奎, 宋国兴编",北京大学出版社,马克思主义、列宁主义、毛泽东思想、邓小平理论,马克思、恩格斯著作的学习和研究,M,法学院,21,本科
6743,547,3715,2024-10-16 17:38:30,2024-11-15 17:38:30,,0,当下的力量:新版.第2版,(德) 埃克哈特·托利著,中信出版社,哲学、宗教,人生观、人生哲学,F,人文学院,21,本科
32920,388,20638,2021-06-29 16:36:46,2021-07-29 16:36:46,2021-07-19 16:36:46,2,浅论精神病学,Tom Burns著,外语教学与研究出版社,语言、文字,语文教学,M,能源与环境学院,20,本科
83299,10,46476,2021-12-28 19:30:00,2022-01-27 19:30:00,,0,自私的基因.第2版,(英) 理查德·道金斯著,中信出版社,生物科学,细胞遗传学,F,数学学院,18,本科
90564,344,50838,2024-03-23 21:56:31,2024-04-22 21:56:31,,0,无线通信基础,"(美) David Tse, Pramod Viswanath著",人民邮电出版社,工业技术,无线通信,F,信息科学与工程学院,20,本科
15121,1331,8717,2024-04-10 08:31:04,2024-05-10 08:31:04,,0,中国应急管理发展报告.2023.2023,主编马宝成,社会科学文献出版社,政治、法律,国家行政管理,F,法学院,20,博士
88876,256,49973,2022-08-10 17:07:04,2022-09-09 17:07:04,2022-08-25 17:07:04,1,射频电路理论与设计.第2版,黄玉兰编著,人民邮电出版社,工业技术,电子电路,M,信息科学与工程学院,19,本科
68746,798,24363,2021-02-19 08:30:26,2021-03-21 08:30:26,,0,黄金时代,王小波著,长江文艺出版社,文学,当代作品（1949年~）,M,艺术学院,18,硕士
22362,1297,13263,2021-05-24 21:47:44,2021-06-23 21:47:44,,0,三十六计的心理智慧,杨晴编著,中国纺织出版社,军事,中国,F,物理学院,19,博士
93079,1021,52191,2023-05-18 18:41:51,2023-06-17 18:41:51,,0,模型预测控制,陈虹著,科学出版社,工业技术,自动控制、自动控制系统,M,机械工程学院,22,硕士
83325,1107,23874,2023-09-26 20:04:41,2023-10-26 20:04:41,2023-10-11 20:04:41,1,给你写信,李娟,中华书局,文学,当代作品（1949年~）,F,法学院,22,硕士
54588,525,30649,2023-06-15 17:15:20,2023-07-15 17:15:20,2023-07-05 17:15:20,2,美丽新世界,(英)阿道司·赫胥黎著,九州出版社,文学, 英国,F,人文学院,21,本科
23697,1253,14032,2024-10-31 10:00:33,2024-11-30 10:00:33,,0,世界经济通史,(德) 马克斯·韦伯著,民主与建设出版社,经济,世界经济史,M,人文学院,24,硕士
66428,493,37523,2022-08-11 17:45:06,2022-09-10 17:45:06,,0,史记通解,"张大可, 丁德科通解",商务印书馆,历史、地理,古代史籍,M,人文学院,21,本科
57673,169,32257,2021-11-29 09:39:36,2021-12-29 09:39:36,2021-12-14 09:39:36,1,瓦尔登湖,(美) 亨利·戴维·梭罗著,作家出版社有限公司,文学, 北美洲,F,电气工程学院,19,本科
102169,996,58004,2023-03-28 16:35:00,2023-04-27 16:35:00,2023-04-17 16:35:00,2,基于动态交通信息的车辆路径优化,段征宇著,同济大学出版社,交通运输,交通工程与交通管理,F,经济管理学院,21,硕士
12919,261,7349,2022-11-10 18:52:05,2022-12-10 18:52:05,,0,吃掉那只青蛙:博恩·崔西的高效时间管理法则,(美) 博恩·崔西著,机械工业出版社,社会科学总论,管理计划和控制,F,法学院,19,本科
81187,1328,45252,2022-08-25 21:55:14,2022-09-24 21:55:14,2022-09-09 21:55:14,1,量子科技公开课,蔡恒进 ... [等] 著,人民出版社,数理科学和化学,量子论,M,人文学院,20,博士
71837,61,41094,2020-10-20 18:47:34,2020-11-19 18:47:34,2020-11-09 18:47:34,2,无标度网络,作者陈庆华,上海大学出版社,自然科学总论,系统学、现代系统理论,M,经济管理学院,18,本科
70238,1436,53442,2024-06-28 19:20:18,2024-07-28 19:20:18,,0,Genetic programming : on the programming of computers by means of natural selection /,"Koza, John R.","MIT Press,",工业技术,程序设计、软件工程,M,电子科学与工程学院,24,博士
55698,347,31576,2024-03-11 12:01:44,2024-04-10 12:01:44,2024-03-31 12:01:44,2,疼痛部,(荷) 杜布拉夫卡·乌格雷西奇著,北京日报出版社,文学, 西欧,F,人文学院,20,本科
85597,45,48070,2022-01-02 09:18:02,2022-02-01 09:18:02,2022-01-22 09:18:02,2,机械原理与机械设计.上册.第2版,"范元勋, 张庆主编",清华大学出版社,工业技术,机械原理,M,土木工程学院,18,本科
33406,959,20942,2021-03-01 16:24:43,2021-03-31 16:24:43,,0,法语全攻略,(法) 加埃尔·格雷厄姆著,上海译文出版社,语言、文字,法语,F,艺术学院,20,硕士
79265,1142,44272,2023-11-05 08:42:23,2023-12-05 08:42:23,,0,高等应用数学问题的MATLAB求解.第5版,薛定宇著,清华大学出版社,数理科学和化学,应用数学,M,能源与环境学院,23,硕士
21688,1331,18482,2024-03-19 19:34:29,2024-04-18 19:34:29,,0,如何阅读一本书,"(美) 莫提默·J. 艾德勒, 查尔斯·范多伦著",商务印书馆,文化科学、教育、体育,家庭教育,F,法学院,20,博士
11247,520,24782,2023-06-27 18:27:15,2023-07-27 18:27:15,,0,默读.II,Priest著,北京联合出版公司,文学,当代作品（1949年~）,F,电子科学与工程学院,21,本科
81010,330,45162,2021-05-17 21:47:22,2021-06-16 21:47:22,,0,上帝掷骰子吗?:量子物理史话:= History of quantum physics,曹天元著,北京联合出版公司,数理科学和化学,量子论,F,人文学院,20,本科
56144,432,32122,2023-08-17 16:18:53,2023-09-16 16:18:53,2023-09-06 16:18:53,2,在路上,杰克·凯鲁亚克,上海译文出版社,文学, 北美洲,F,人文学院,21,本科
99818,114,56333,2023-03-04 18:55:15,2023-04-03 18:55:15,,0,建筑的复杂性与矛盾性,(美) 罗伯特·文丘里著,中国水利水电出版社,工业技术,工业技术,F,人文学院,18,本科
24798,460,14737,2023-12-22 09:55:37,2024-01-21 09:55:37,,0,基于区块链的供应链信息共享机制与管理模式研究,付永贵著,人民邮电出版社,经济,物资流通费用、资金和利润,M,经济管理学院,21,本科
7418,963,4066,2022-06-19 18:55:22,2022-07-19 18:55:22,,0,气氛美学:essays zur neuen ?sthetik,(德) 格诺特·波默著,中国社会科学出版社,哲学、宗教,美学,F,艺术学院,20,硕士
94262,378,52939,2023-02-27 10:09:58,2023-03-29 10:09:58,2023-03-19 10:09:58,2,复杂性思考,Allen B. Downey著,机械工业出版社,工业技术,程序设计、软件工程,M,数学学院,20,本科
21787,1331,2166,2024-04-02 08:31:41,2024-05-02 08:31:41,,0,忏悔录.英汉对照全译本,(古罗马) 圣奥古斯丁著,中国社会科学出版社,哲学、宗教,中世纪哲学(欧洲),F,法学院,20,博士
97481,384,30744,2023-08-31 08:59:21,2023-09-30 08:59:21,,0,福尔摩斯探案全集,(英) 阿瑟·柯南道尔著,译林出版社,文学, 英国,M,自动化学院,20,本科
29159,255,17812,2021-03-12 17:41:56,2021-04-11 17:41:56,,0,局外人看科学,(英) 巴里·巴恩斯著,东方出版社,文化科学、教育、体育,科学研究理论,M,人文学院,19,本科
69192,55,39285,2020-09-13 17:34:12,2020-10-13 17:34:12,,0,钱学森传,奚启新著,人民出版社,历史、地理,自然科学、工程技术,M,机械工程学院,18,本科
18410,1006,28698,2022-07-11 16:07:22,2022-08-10 16:07:22,,0,我是猫,(日) 夏目漱石著,上海译文出版社,文学, 日本,M,法学院,21,硕士
56956,143,32047,2023-10-08 10:02:57,2023-11-07 10:02:57,2023-10-28 10:02:57,2,亲爱的生活,(加) 艾丽丝·门罗著,北京十月文艺出版社,文学, 北美洲,F,外国语学院,19,本科
40622,339,25681,2023-02-22 21:51:31,2023-03-24 21:51:31,,0,"十宗罪.2,中国十大变态凶杀案",蜘蛛著,湖南文艺出版社,文学,当代作品（1949年~）,F,人文学院,20,本科
27748,918,16866,2020-11-09 11:09:38,2020-12-09 11:09:38,2020-11-24 11:09:38,1,"行为金融:心理、决策和市场:psychology, decision-making, and markets","(美) 露西 F. 阿科特, (加) 理查德·迪弗斯著",机械工业出版社,经济,金融、银行理论,M,经济管理学院,20,硕士
94217,206,52904,2021-12-18 18:34:36,2022-01-17 18:34:36,,0,数据库原理习题与解析-第3版,"李春葆, 曾慧编著",清华大学出版社,工业技术,程序设计、软件工程,F,物理学院,19,本科
61934,687,7016,2024-09-29 19:32:05,2024-10-29 19:32:05,,0,人口版图:the future of humanity in ten numbers,(英) 保罗·莫兰著,中信出版集团,社会科学总论,世界各国人口调查及其研究,M,能源与环境学院,23,本科
13190,310,7510,2022-12-02 20:38:58,2023-01-01 20:38:58,,0,政治哲学,(美) 史蒂芬·B·斯密什,北京联合出版公司,政治、法律,政治理论,M,人文学院,20,本科
53145,56,30682,2021-07-07 12:07:16,2021-08-06 12:07:16,,0,烟与镜,(英) 尼尔·盖曼著,人民文学出版社,文学, 英国,F,人文学院,18,本科
53617,77,30836,2021-05-26 18:04:22,2021-06-25 18:04:22,2021-06-10 18:04:22,1,克拉拉与太阳,(英) 石黑一雄著,上海译文出版社有限公司,文学, 英国,M,计算机科学与工程学院,18,本科
10338,44,5950,2021-07-21 11:23:31,2021-08-20 11:23:31,,0,西方社会学理论教程.第4版,主编侯钧生,南开大学出版社,社会科学总论,社会学,M,机械工程学院,18,本科
21630,1250,12810,2024-11-13 12:55:18,2024-12-13 12:55:18,2024-11-28 12:55:18,1,德国侵权法:侵权行为、损害赔偿及痛苦抚慰金,"(德) 埃尔温·多伊奇, 汉斯-于尔根·阿伦斯著",中国人民大学出版社,政治、法律, 欧洲法律,M,法学院,24,硕士
67203,364,38028,2023-05-09 16:53:40,2023-06-08 16:53:40,,0,南宋文人与党争,沈松勤著,人民出版社,历史、地理,南宋（1127~1279年）,F,人文学院,20,本科
11546,702,6245,2024-08-29 12:11:52,2024-09-28 12:11:52,2024-09-13 12:11:52,1,乡土中国 生育制度 乡土重建,费孝通著,商务印书馆,社会科学总论,社会结构和社会关系,F,法学院,23,本科
37496,880,23601,2021-06-30 21:46:24,2021-07-30 21:46:24,,0,楚辞评注.第2版,汤漳平评注,上海三联书店,文学,古代至近代作品（~1919年）,F,艺术学院,19,硕士
42560,704,24391,2023-10-25 17:56:20,2023-11-24 17:56:20,,0,在细雨中呼喊,余华作品,作家出版社,文学,当代作品（1949年~）,M,土木工程学院,23,本科
32053,38,19980,2021-11-16 17:42:32,2021-12-16 17:42:32,,0,留学申请写作模板:个人陈述·推荐信·简历,"包凡一, 王薇编著",群言出版社,语言、文字,写作、修辞,F,数学学院,18,本科
70037,180,39906,2023-09-02 21:34:49,2023-10-02 21:34:49,,0,I want to be a mathematician : an automathography /,"Halmos, Paul R.,","Springer-Verlag,",历史、地理, 美洲人物传记,M,数学学院,19,本科
78308,1390,43855,2023-12-29 11:18:22,2024-01-28 11:18:22,,0,最优控制:数学理论与智能方法,"张杰, 王飞跃著",清华大学出版社,数理科学和化学,最优控制,F,能源与环境学院,23,博士
79965,556,44635,2024-11-06 10:45:16,2024-12-06 10:45:16,,0,智能流场计算方法,刘杰 ... [等] 著,哈尔滨工业大学出版社,数理科学和化学,流体力学,M,能源与环境学院,21,本科
17509,1331,10208,2022-06-05 16:16:52,2022-07-05 16:16:52,,0,洋为中用:中国法政知识考古,王人博等著,北京大学出版社,政治、法律,国家法、宪法,F,法学院,20,博士
30654,1197,3123,2024-05-16 12:20:29,2024-06-15 12:20:29,2024-05-31 12:20:29,1,批判性思维教程,"谷振诣, 刘壮虎著",北京大学出版社,哲学、宗教,思维科学(总论),M,外国语学院,23,硕士
1529,1211,871,2024-03-04 18:45:33,2024-04-03 18:45:33,2024-03-19 18:45:33,1,吕思勉讲中国思想史,吕思勉著,团结出版社,哲学、宗教,辩证唯物主义,F,人文学院,23,硕士
29730,1267,18249,2020-08-18 18:59:53,2020-09-17 18:59:53,,0,大学的革命:MOOC时代的高等教育,"吴剑平, 赵可等著",清华大学出版社,文化科学、教育、体育,教学理论、教学法,F,人文学院,18,博士
44867,371,30617,2022-04-17 17:56:25,2022-05-17 17:56:25,,0,面纱,(英) 毛姆著,人民文学出版社,文学, 英国,M,自动化学院,20,本科
48100,343,28555,2021-08-19 20:44:05,2021-09-18 20:44:05,2021-09-03 20:44:05,1,金色梦乡,(日) 伊坂幸太郎著,南海出版公司,文学, 日本,F,化学化工学院,20,本科
14198,1006,8117,2023-05-15 18:25:44,2023-06-14 18:25:44,,0,习近平法治思想概论,《习近平法治思想概论》编写组 [编],高等教育出版社,政治、法律,中国共产党、共产主义青年团,M,法学院,21,硕士
20987,157,12342,2021-05-29 16:03:05,2021-06-28 16:03:05,,0,中华人民共和国刑事诉讼法释义,主编王爱立,法律出版社,政治、法律,诉讼法,F,人文学院,19,本科
18263,938,10638,2020-12-13 20:58:37,2021-01-12 20:58:37,,0,民事诉讼:回归原点的思考,张卫平著,北京大学出版社,政治、法律,诉讼法,M,法学院,20,硕士
101761,110,57728,2022-02-23 20:11:54,2022-03-25 20:11:54,,0,桥梁结构电算:有限元分析方法及其在MIDAS/Civil中的应用.第2版,"周水兴, 王小松, 田维锋等编著",人民交通出版社股份有限公司,交通运输,桥梁构造,M,土木工程学院,18,本科
7989,877,4232,2022-02-17 16:19:50,2022-03-19 16:19:50,,0,实验心理学.第4版,朱滢主编,北京大学出版社,哲学、宗教,心理学,F,人文学院,19,硕士
101611,1316,32169,2024-09-23 14:43:21,2024-10-23 14:43:21,2024-10-13 14:43:21,2,了不起的盖茨比,(美) F·S·菲茨杰拉德著,上海译文出版社,文学, 北美洲,F,土木工程学院,20,博士
13228,504,7537,2023-06-10 21:17:01,2023-07-10 21:17:01,,0,"资本主义与现代社会理论:对马克思、涂尔干和韦伯著作的分析:an analysis of the writings of Marx, Durk...",(英) 安东尼·吉登斯著,上海译文出版社,政治、法律,政治理论,F,人文学院,21,本科
82017,516,45628,2024-01-06 17:11:59,2024-02-05 17:11:59,,0,半导体物理问题与习题,田敬民编著,国防工业出版社,数理科学和化学,半导体物理学,M,电子科学与工程学院,21,本科
61963,1217,34447,2024-09-19 16:41:08,2024-10-19 16:41:08,2024-10-04 16:41:08,1,观看之道.第3版,作者约翰·伯格,广西师范大学出版社,艺术,绘画评论、欣赏,F,艺术学院,23,硕士
66250,365,32215,2024-04-19 13:10:01,2024-05-19 13:10:01,,0,洛丽塔,(美) 弗拉基米尔·纳博科夫著,上海译文出版社,文学, 北美洲,F,人文学院,20,本科
90805,1265,51022,2020-10-15 18:47:42,2020-11-14 18:47:42,2020-10-30 18:47:42,1,可穿戴设备:移动互联网新浪潮,陈根著,机械工业出版社,工业技术,光波通信、激光通信,F,经济管理学院,18,博士
43561,1161,32239,2024-01-13 21:54:54,2024-02-12 21:54:54,2024-01-28 21:54:54,1,麦田里的守望者,(美) J.D. 塞林格著,译林出版社,文学, 北美洲,F,土木工程学院,23,硕士
83315,717,46486,2024-03-31 18:49:55,2024-04-30 18:49:55,2024-04-20 18:49:55,2,贪婪的多巴胺,"(美) 丹尼尔·利伯曼, 迈克尔·E.朗著",中信出版社,生物科学,神经的传导,M,能源与环境学院,23,本科
67466,1374,38115,2024-11-05 20:47:45,2024-12-05 20:47:45,,0,上海与郑和研究,"时平, 朱鉴秋主编",海洋出版社,历史、地理,南宋（1127~1279年）,F,外国语学院,22,博士
