user_id,性别,DEPT,年级,类型,DEPT_encoded,dept_avg_renew,user_dept_avg_cat1_pref
140,F,人文学院,19,本科,0,0.4201434410426467,0.18504065876612721
141,F,人文学院,19,本科,0,0.4201434410426467,0.12911128607313463
142,M,人文学院,19,本科,0,0.4201434410426467,0.23377291072190912
143,F,外国语学院,19,本科,4,0.4865988909426987,0.37668339054486616
144,M,机械工程学院,19,本科,6,0.7081920903954803,0.22101156846857128
145,M,机械工程学院,19,本科,6,0.7081920903954803,0.22017083669563847
146,F,能源与环境学院,19,本科,12,0.6686073591057289,0.307181116507369
147,M,信息科学与工程学院,19,本科,1,0.7051756007393716,0.14014451352681448
148,M,土木工程学院,19,本科,3,0.6401294498381876,0.1343812605945629
149,M,计算机科学与工程学院,19,本科,15,0.7337128399746996,0.20549119477881944
150,M,电气工程学院,19,本科,10,0.5771838851216593,0.22393390460643614
151,F,经济管理学院,19,本科,11,0.5593798449612403,0.12945736434088456
152,M,经济管理学院,19,本科,11,0.5593798449612403,0.11804478897483851
153,F,艺术学院,19,本科,14,0.5142951035162668,0.20647686194809678
154,F,艺术学院,19,本科,14,0.5142951035162668,0.2515719136812604
155,M,人文学院,19,本科,0,0.4201434410426467,0.12585436017358176
156,M,人文学院,19,本科,0,0.4201434410426467,0.21262949538555875
157,F,人文学院,19,本科,0,0.4201434410426467,0.0966981271985539
158,F,机械工程学院,19,本科,6,0.7081920903954803,0.2233192090389172
159,M,信息科学与工程学院,19,本科,1,0.7051756007393716,0.22129924503879564
160,M,物理学院,19,本科,8,0.5721231766612642,0.3290995490560948
161,F,艺术学院,19,本科,14,0.5142951035162668,0.13085457646724347
162,F,艺术学院,19,本科,14,0.5142951035162668,0.17623781356088908
163,F,人文学院,19,本科,0,0.4201434410426467,0.17376654347412906
164,M,外国语学院,19,本科,4,0.4865988909426987,0.09397463544832318
165,F,外国语学院,19,本科,4,0.4865988909426987,0.30258219906878603
166,F,人文学院,19,本科,0,0.4201434410426467,0.15638712075809602
167,M,物理学院,19,本科,8,0.5721231766612642,0.40322548372033395
168,F,人文学院,19,本科,0,0.4201434410426467,0.18260424680271897
169,F,电气工程学院,19,本科,10,0.5771838851216593,0.2245155425265393
170,F,能源与环境学院,19,本科,12,0.6686073591057289,0.362620146503792
171,F,人文学院,19,本科,0,0.4201434410426467,0.07424554141151604
172,F,人文学院,19,本科,0,0.4201434410426467,0.18156345595214912
173,M,电子科学与工程学院,19,本科,9,0.5672328379334749,0.23157820240540844
174,M,电气工程学院,19,本科,10,0.5771838851216593,0.24206162139850987
175,F,电气工程学院,19,本科,10,0.5771838851216593,0.2538316442763668
176,M,计算机科学与工程学院,19,本科,15,0.7337128399746996,0.22524052065505526
177,M,物理学院,19,本科,8,0.5721231766612642,0.31185624075430884
178,M,物理学院,19,本科,8,0.5721231766612642,0.23564082721167737
179,M,土木工程学院,19,本科,3,0.6401294498381876,0.09556053439527967
180,M,数学学院,19,本科,5,0.6766998118785272,0.2919681839727292
181,M,机械工程学院,19,本科,6,0.7081920903954803,0.16319612590752933
182,M,物理学院,19,本科,8,0.5721231766612642,0.3490640988953717
183,F,经济管理学院,19,本科,11,0.5593798449612403,0.23872340425494903
184,F,经济管理学院,19,本科,11,0.5593798449612403,0.21505352528575
185,M,经济管理学院,19,本科,11,0.5593798449612403,0.19892334194628936
186,M,化学化工学院,19,本科,2,0.5572176514584891,0.1118266231270254
187,F,人文学院,19,本科,0,0.4201434410426467,0.13752676207358283
188,M,人文学院,19,本科,0,0.4201434410426467,0.12537855971177064
189,M,信息科学与工程学院,19,本科,1,0.7051756007393716,0.2971901872531911
190,M,电子科学与工程学院,19,本科,9,0.5672328379334749,0.206316648073448
191,M,电子科学与工程学院,19,本科,9,0.5672328379334749,0.24768813399299006
192,M,物理学院,19,本科,8,0.5721231766612642,0.31771840853072464
193,M,经济管理学院,19,本科,11,0.5593798449612403,0.20270337699335944
194,M,数学学院,19,本科,5,0.6766998118785272,0.4015244460532386
195,M,土木工程学院,19,本科,3,0.6401294498381876,0.16981465136768306
196,M,能源与环境学院,19,本科,12,0.6686073591057289,0.34044361082008856
197,F,机械工程学院,19,本科,6,0.7081920903954803,0.2079883300911046
198,M,能源与环境学院,19,本科,12,0.6686073591057289,0.1834642418592501
199,F,物理学院,19,本科,8,0.5721231766612642,0.27472265148796843
200,F,物理学院,19,本科,8,0.5721231766612642,0.14737979470476836
201,M,物理学院,19,本科,8,0.5721231766612642,0.3055674031090433
202,M,人文学院,19,本科,0,0.4201434410426467,0.038512478163603064
203,M,计算机科学与工程学院,19,本科,15,0.7337128399746996,0.16470435822884172
204,M,物理学院,19,本科,8,0.5721231766612642,0.3423498947428365
205,F,经济管理学院,19,本科,11,0.5593798449612403,0.18450941306726654
206,F,物理学院,19,本科,8,0.5721231766612642,0.30561583752089744
207,M,物理学院,19,本科,8,0.5721231766612642,0.2360188912693546
208,M,经济管理学院,19,本科,11,0.5593798449612403,0.14508127031735446
209,F,人文学院,19,本科,0,0.4201434410426467,0.08069877786926598
210,M,外国语学院,19,本科,4,0.4865988909426987,0.09896796056639418
211,M,电子科学与工程学院,19,本科,9,0.5672328379334749,0.21553432413228757
212,M,电气工程学院,19,本科,10,0.5771838851216593,0.2629610064781068
213,M,机械工程学院,19,本科,6,0.7081920903954803,0.27999486389237804
214,F,经济管理学院,19,本科,11,0.5593798449612403,0.16181524547778528
215,M,机械工程学院,19,本科,6,0.7081920903954803,0.185533299092097
216,M,机械工程学院,19,本科,6,0.7081920903954803,0.2641907610494365
217,F,能源与环境学院,19,本科,12,0.6686073591057289,0.2821010957755792
218,M,机械工程学院,19,本科,6,0.7081920903954803,0.22573896667421697
219,M,土木工程学院,19,本科,3,0.6401294498381876,0.18882927383142137
220,F,人文学院,19,本科,0,0.4201434410426467,0.1058296200297502
221,F,电气工程学院,19,本科,10,0.5771838851216593,0.27416566945775495
222,M,物理学院,19,本科,8,0.5721231766612642,0.32331622546196664
223,F,人文学院,19,本科,0,0.4201434410426467,0.11240070949324255
224,M,人文学院,19,本科,0,0.4201434410426467,0.07602036689752567
225,M,土木工程学院,19,本科,3,0.6401294498381876,0.19065328286942576
226,F,经济管理学院,19,本科,11,0.5593798449612403,0.1821505376341262
227,F,自动化学院,19,本科,13,0.6293706293706294,0.17483269418671785
228,M,物理学院,19,本科,8,0.5721231766612642,0.3833904579692513
229,F,经济管理学院,19,本科,11,0.5593798449612403,0.13602536997864745
230,M,机械工程学院,19,本科,6,0.7081920903954803,0.2452250774551119
231,F,电气工程学院,19,本科,10,0.5771838851216593,0.31776581128269293
232,M,土木工程学院,19,本科,3,0.6401294498381876,0.1870467181142757
233,M,土木工程学院,19,本科,3,0.6401294498381876,0.09329977226397226
234,F,外国语学院,19,本科,4,0.4865988909426987,0.3028504718343822
235,F,外国语学院,19,本科,4,0.4865988909426987,0.27961040807492005
236,M,土木工程学院,19,本科,3,0.6401294498381876,0.13707078250738
237,M,能源与环境学院,19,本科,12,0.6686073591057289,0.34623551330092794
238,F,能源与环境学院,19,本科,12,0.6686073591057289,0.33629850709602266
239,M,化学化工学院,19,本科,2,0.5572176514584891,0.08094147344741257
240,F,人文学院,19,本科,0,0.4201434410426467,0.09597942603457582
241,M,信息科学与工程学院,19,本科,1,0.7051756007393716,0.15220784555315006
242,M,信息科学与工程学院,19,本科,1,0.7051756007393716,0.20951814245514094
243,M,能源与环境学院,19,本科,12,0.6686073591057289,0.20449407568084882
244,F,经济管理学院,19,本科,11,0.5593798449612403,0.21058283089258192
245,M,信息科学与工程学院,19,本科,1,0.7051756007393716,0.2348358514822188
246,M,经济管理学院,19,本科,11,0.5593798449612403,0.20526192154067308
247,F,能源与环境学院,19,本科,12,0.6686073591057289,0.2124707047850679
248,M,经济管理学院,19,本科,11,0.5593798449612403,0.23269622092987177
249,M,电子科学与工程学院,19,本科,9,0.5672328379334749,0.16874557678638097
250,F,物理学院,19,本科,8,0.5721231766612642,0.29698279390177296
251,F,经济管理学院,19,本科,11,0.5593798449612403,0.17236821705399633
252,M,机械工程学院,19,本科,6,0.7081920903954803,0.23500403551184626
253,F,人文学院,19,本科,0,0.4201434410426467,0.2333297568072342
254,F,人文学院,19,本科,0,0.4201434410426467,0.13446187739475282
255,M,人文学院,19,本科,0,0.4201434410426467,0.16384668774568995
256,M,信息科学与工程学院,19,本科,1,0.7051756007393716,0.2337379036636983
257,M,电子科学与工程学院,19,本科,9,0.5672328379334749,0.15843663675947864
258,M,物理学院,19,本科,8,0.5721231766612642,0.19671505414123402
259,M,经济管理学院,19,本科,11,0.5593798449612403,0.21509838998177744
260,F,机械工程学院,19,本科,6,0.7081920903954803,0.2197409544410189
261,F,法学院,19,本科,7,0.4060192023633678,0.21206100222628896
262,F,外国语学院,19,本科,4,0.4865988909426987,0.3191537193370874
263,M,电子科学与工程学院,19,本科,9,0.5672328379334749,0.1919084689778536
264,M,机械工程学院,19,本科,6,0.7081920903954803,0.19983702737883574
265,M,人文学院,19,本科,0,0.4201434410426467,0.306932983727688
266,F,人文学院,19,本科,0,0.4201434410426467,0.31880542916609944
267,M,能源与环境学院,19,本科,12,0.6686073591057289,0.16400927199623855
268,F,自动化学院,19,本科,13,0.6293706293706294,0.27854182854053
269,F,艺术学院,19,本科,14,0.5142951035162668,0.1815116661186633
270,F,人文学院,19,本科,0,0.4201434410426467,0.18198056107673719
271,M,计算机科学与工程学院,19,本科,15,0.7337128399746996,0.14880655148213082
272,F,艺术学院,19,本科,14,0.5142951035162668,0.19511491747504942
273,F,人文学院,19,本科,0,0.4201434410426467,0.22492260573526485
274,F,人文学院,19,本科,0,0.4201434410426467,0.12669597182581935
275,M,信息科学与工程学院,19,本科,1,0.7051756007393716,0.30288560279248156
276,M,能源与环境学院,19,本科,12,0.6686073591057289,0.08506974235755935
277,F,能源与环境学院,19,本科,12,0.6686073591057289,0.1787977586762431
278,M,能源与环境学院,19,本科,12,0.6686073591057289,0.17599751591326815
279,F,人文学院,19,本科,0,0.4201434410426467,0.233472259011827
280,M,经济管理学院,19,本科,11,0.5593798449612403,0.21041712809122048
281,F,经济管理学院,19,本科,11,0.5593798449612403,0.1867168262651004
282,F,经济管理学院,19,本科,11,0.5593798449612403,0.21213023255781063
283,M,人文学院,20,本科,0,0.4201434410426467,0.1363564907367357
284,F,人文学院,20,本科,0,0.4201434410426467,0.21412485247344606
285,M,数学学院,20,本科,5,0.6766998118785272,0.28109142071157683
286,M,数学学院,20,本科,5,0.6766998118785272,0.32210235343715027
287,M,土木工程学院,20,本科,3,0.6401294498381876,0.20795310406916026
288,M,能源与环境学院,20,本科,12,0.6686073591057289,0.20406658238469125
289,M,人文学院,20,本科,0,0.4201434410426467,0.1026008328833943
290,F,经济管理学院,20,本科,11,0.5593798449612403,0.18761593907219654
291,F,艺术学院,20,本科,14,0.5142951035162668,0.18585501747646693
292,M,人文学院,20,本科,0,0.4201434410426467,0.08709162282485237
293,M,信息科学与工程学院,20,本科,1,0.7051756007393716,0.2734655322381417
294,F,电气工程学院,20,本科,10,0.5771838851216593,0.26799036771008056
295,M,自动化学院,20,本科,13,0.6293706293706294,0.291326217640649
296,M,经济管理学院,20,本科,11,0.5593798449612403,0.1580539615420886
297,M,信息科学与工程学院,20,本科,1,0.7051756007393716,0.17902453369140287
298,F,外国语学院,20,本科,4,0.4865988909426987,0.22926293900078898
299,F,人文学院,20,本科,0,0.4201434410426467,0.1496929508096852
300,M,经济管理学院,20,本科,11,0.5593798449612403,0.1551237809449958
301,M,人文学院,20,本科,0,0.4201434410426467,0.09309786380805653
302,F,法学院,20,本科,7,0.4060192023633678,0.18386520559204828
303,M,数学学院,20,本科,5,0.6766998118785272,0.4331452118594469
304,M,电子科学与工程学院,20,本科,9,0.5672328379334749,0.28964378391027495
305,M,电子科学与工程学院,20,本科,9,0.5672328379334749,0.17378579054000665
306,M,数学学院,20,本科,5,0.6766998118785272,0.25778052735267437
307,M,计算机科学与工程学院,20,本科,15,0.7337128399746996,0.3496732026121674
308,F,信息科学与工程学院,20,本科,1,0.7051756007393716,0.1670352521781195
309,M,化学化工学院,20,本科,2,0.5572176514584891,0.33881824981048003
310,M,人文学院,20,本科,0,0.4201434410426467,0.22155254067013028
311,M,人文学院,20,本科,0,0.4201434410426467,0.27122907189007295
312,F,数学学院,20,本科,5,0.6766998118785272,0.2659679297672688
313,M,数学学院,20,本科,5,0.6766998118785272,0.3856157035888189
314,M,数学学院,20,本科,5,0.6766998118785272,0.3558096592130949
315,F,信息科学与工程学院,20,本科,1,0.7051756007393716,0.26819162045532613
316,M,信息科学与工程学院,20,本科,1,0.7051756007393716,0.26070697916419494
317,M,信息科学与工程学院,20,本科,1,0.7051756007393716,0.1782677581194719
318,M,计算机科学与工程学院,20,本科,15,0.7337128399746996,0.3276279557093749
319,M,经济管理学院,20,本科,11,0.5593798449612403,0.2639683325082498
320,F,人文学院,20,本科,0,0.4201434410426467,0.1698763965482266
321,M,电子科学与工程学院,20,本科,9,0.5672328379334749,0.2440728945497379
322,M,人文学院,20,本科,0,0.4201434410426467,0.2803447805373614
323,F,经济管理学院,20,本科,11,0.5593798449612403,0.14786976744163122
324,M,计算机科学与工程学院,20,本科,15,0.7337128399746996,0.19432799376191753
325,M,信息科学与工程学院,20,本科,1,0.7051756007393716,0.2248613678368187
326,M,人文学院,20,本科,0,0.4201434410426467,0.1809854120333175
327,M,能源与环境学院,20,本科,12,0.6686073591057289,0.3121703445403674
328,F,外国语学院,20,本科,4,0.4865988909426987,0.21333043383613498
329,M,物理学院,20,本科,8,0.5721231766612642,0.19628448441015586
330,F,人文学院,20,本科,0,0.4201434410426467,0.2006779894624582
331,F,信息科学与工程学院,20,本科,1,0.7051756007393716,0.35027726432451417
332,M,电子科学与工程学院,20,本科,9,0.5672328379334749,0.11500353857001062
333,M,信息科学与工程学院,20,本科,1,0.7051756007393716,0.20871389221074607
334,M,土木工程学院,20,本科,3,0.6401294498381876,0.23126213592183115
335,M,物理学院,20,本科,8,0.5721231766612642,0.39061468275195665
336,F,土木工程学院,20,本科,3,0.6401294498381876,0.17477338227916372
337,M,经济管理学院,20,本科,11,0.5593798449612403,0.21327954437555924
338,F,人文学院,20,本科,0,0.4201434410426467,0.09754852816417883
339,F,人文学院,20,本科,0,0.4201434410426467,0.1286777525392633
340,F,艺术学院,20,本科,14,0.5142951035162668,0.27841095808516375
341,M,土木工程学院,20,本科,3,0.6401294498381876,0.20229557713009214
342,M,经济管理学院,20,本科,11,0.5593798449612403,0.20196382428909257
343,F,化学化工学院,20,本科,2,0.5572176514584891,0.28069060084556957
344,F,信息科学与工程学院,20,本科,1,0.7051756007393716,0.1986367837333673
345,F,艺术学院,20,本科,14,0.5142951035162668,0.2025156780586003
346,F,法学院,20,本科,7,0.4060192023633678,0.27221586058247954
347,F,人文学院,20,本科,0,0.4201434410426467,0.27846991245746316
348,F,物理学院,20,本科,8,0.5721231766612642,0.2833176945590199
349,M,能源与环境学院,20,本科,12,0.6686073591057289,0.3640527303769874
350,M,信息科学与工程学院,20,本科,1,0.7051756007393716,0.2084103512009972
351,M,电气工程学院,20,本科,10,0.5771838851216593,0.289614611002927
352,M,自动化学院,20,本科,13,0.6293706293706294,0.21145950823271598
353,F,数学学院,20,本科,5,0.6766998118785272,0.31757077427053326
354,M,自动化学院,20,本科,13,0.6293706293706294,0.17951860873125497
355,F,人文学院,20,本科,0,0.4201434410426467,0.18148284105793053
356,M,艺术学院,20,本科,14,0.5142951035162668,0.255586592178351
357,F,艺术学院,20,本科,14,0.5142951035162668,0.26063611648966006
358,F,法学院,20,本科,7,0.4060192023633678,0.2699125099415537
359,M,土木工程学院,20,本科,3,0.6401294498381876,0.2293162788303472
360,M,自动化学院,20,本科,13,0.6293706293706294,0.27522562907049986
361,M,信息科学与工程学院,20,本科,1,0.7051756007393716,0.1756208309889055
362,M,信息科学与工程学院,20,本科,1,0.7051756007393716,0.18691439862280734
363,F,人文学院,20,本科,0,0.4201434410426467,0.33035830165479074
364,F,人文学院,20,本科,0,0.4201434410426467,0.3052789175703616
365,F,人文学院,20,本科,0,0.4201434410426467,0.20803825565409284
366,M,艺术学院,20,本科,14,0.5142951035162668,0.2538832292689442
367,F,人文学院,20,本科,0,0.4201434410426467,0.2939063263152922
368,F,能源与环境学院,20,本科,12,0.6686073591057289,0.29431856580477045
369,M,数学学院,20,本科,5,0.6766998118785272,0.356818656871447
370,M,自动化学院,20,本科,13,0.6293706293706294,0.21220597584135018
371,M,自动化学院,20,本科,13,0.6293706293706294,0.20754147812874585
372,M,信息科学与工程学院,20,本科,1,0.7051756007393716,0.20521055002360206
373,M,电气工程学院,20,本科,10,0.5771838851216593,0.2381684225336003
374,F,自动化学院,20,本科,13,0.6293706293706294,0.2308555641878213
375,M,能源与环境学院,20,本科,12,0.6686073591057289,0.3263565440141445
376,M,机械工程学院,20,本科,6,0.7081920903954803,0.2568373111949392
377,M,能源与环境学院,20,本科,12,0.6686073591057289,0.12536261914599897
378,M,数学学院,20,本科,5,0.6766998118785272,0.4030739452526167
379,M,数学学院,20,本科,5,0.6766998118785272,0.22433485622084298
380,F,人文学院,20,本科,0,0.4201434410426467,0.34551723867470113
381,M,能源与环境学院,20,本科,12,0.6686073591057289,0.2600306074915762
382,M,机械工程学院,20,本科,6,0.7081920903954803,0.27319747107805525
383,F,信息科学与工程学院,20,本科,1,0.7051756007393716,0.25306280359310485
384,M,自动化学院,20,本科,13,0.6293706293706294,0.23880356403609562
385,M,电气工程学院,20,本科,10,0.5771838851216593,0.19256805581974606
386,M,土木工程学院,20,本科,3,0.6401294498381876,0.18673938231610995
387,F,经济管理学院,20,本科,11,0.5593798449612403,0.25262763966814616
388,M,能源与环境学院,20,本科,12,0.6686073591057289,0.14346611044700394
