inter_id,user_id,book_id,借阅时间,还书时间,续借时间,续借次数
4902,1331,2346,2021-04-25 10:00:13,2021-04-2620:15:43,,0
95759,353,53779,2021-07-06 21:58:05,2021-08-0315:06:20,,0
11770,83,6610,2020-08-29 11:25:02,2020-09-2112:22:03,,0
2026,536,1195,2024-03-24 09:20:03,2024-03-2417:27:22,,0
19986,1332,11673,2021-01-23 20:37:39,2021-03-0311:37:23,,0
18866,1299,10971,2021-02-01 20:57:15,2021-03-2017:18:31,,0
17791,1331,10368,2020-12-26 11:34:57,2021-01-1218:37:04,,0
48050,318,28815,2024-05-27 16:22:01,2024-06-1809:25:45,,0
80025,896,44670,2020-11-24 17:37:19,2021-01-2008:24:07,2021-01-1915:45:51,2
3375,451,1950,2024-11-11 16:48:41,,2024-12-0908:42:12,1
50793,272,29813,2021-10-18 18:58:51,2021-11-1011:47:56,2023-02-1921:41:46,1
44812,1266,26821,2022-04-19 20:02:42,2022-06-0821:32:19,2022-05-1610:28:11,1
46872,1308,28207,2022-04-21 20:40:15,2022-07-0514:28:25,2022-06-1817:22:27,2
34469,412,21641,2021-11-29 08:10:11,2021-11-2908:11:54,,0
63131,943,35227,2020-09-20 16:51:47,2020-09-2608:02:55,,0
26001,171,15575,2021-10-17 21:21:45,2021-10-1721:22:24,,0
75752,314,42619,2022-03-01 17:29:47,2022-06-1109:29:27,2022-05-1408:38:41,2
24967,1166,14837,2024-04-03 18:41:04,2024-09-0316:06:24,2024-11-0120:04:57,2
16019,287,9344,2023-03-02 21:53:27,2023-04-2721:43:04,2023-04-2113:55:02,2
12361,646,6945,2023-11-02 09:56:01,2023-11-2109:46:02,,0
29311,1299,17924,2020-12-04 08:43:03,2020-12-1313:35:49,,0
96336,34,54124,2021-11-30 11:43:59,2022-02-1915:37:30,2021-12-2713:28:58,1
33983,822,21362,2021-09-01 16:49:01,2021-10-0112:13:54,,0
86405,1031,48579,2024-12-03 21:49:59,,,0
38018,73,23942,2021-03-19 22:03:47,2021-06-1618:56:34,2021-05-1508:35:56,2
57433,287,32293,2022-01-03 21:44:02,2022-06-1120:46:46,,0
87359,472,49101,2024-03-09 17:31:53,2024-03-1021:48:24,,0
93420,1397,52409,2023-12-11 16:05:16,2023-12-1116:43:49,,0
54150,420,30646,2023-09-28 10:16:50,2023-11-2709:39:35,2023-10-2220:23:37,1
81740,622,45542,2023-08-18 19:36:15,2023-09-1516:11:00,,0
80853,1131,45081,2024-05-28 21:09:11,2024-09-2715:11:29,2024-08-2521:33:45,1
13517,1331,7659,2021-03-21 08:30:18,2021-03-2811:11:42,,0
9426,815,5388,2022-05-16 20:12:59,2022-05-2316:03:55,,0
6484,1267,3616,2021-10-13 14:52:31,2021-12-2816:06:20,,0
12373,210,6953,2021-06-06 15:56:33,2021-06-1420:32:10,,0
431,75,218,2021-12-18 12:55:52,2022-04-1015:17:34,2024-09-2009:34:38,0
48430,579,28610,2023-04-07 15:34:39,2023-04-1313:25:53,,0
71140,960,40520,2022-04-25 18:28:43,2022-04-2918:49:04,,0
23968,789,14222,2020-12-08 17:23:57,2021-01-0116:40:11,,0
6297,1252,3515,2024-09-19 21:57:39,2024-10-2415:12:38,,0
34229,960,21401,2022-09-07 13:58:34,2022-09-1313:42:41,,0
95282,838,53485,2020-12-04 20:22:21,2021-01-0318:14:20,2020-12-2714:05:08,1
65161,794,36684,2020-12-01 14:31:20,2021-03-2413:15:46,,0
99998,1231,56486,2024-09-30 18:11:29,2024-11-1613:04:41,,0
37713,365,23749,2024-05-26 14:49:21,2024-05-2614:52:49,,0
31462,365,19534,2024-05-29 16:08:19,2024-05-2916:10:52,,0
72325,318,41341,2021-01-20 13:02:45,2021-05-1713:26:22,2021-04-1308:55:11,2
64135,357,35905,2023-11-14 21:25:30,2023-11-1421:26:47,,0
5226,4,2906,2022-05-20 14:53:00,2022-06-1916:38:09,,0
57302,165,32249,2021-10-18 13:17:59,2021-10-1813:20:46,,0
46778,943,28169,2020-09-11 10:44:34,2020-09-1511:31:40,,0
45349,365,27291,2024-05-22 20:56:14,2024-05-2220:58:30,,0
8199,378,4579,2021-06-08 20:03:54,2021-06-2713:46:52,,0
26073,1375,15652,2023-12-11 17:52:45,2024-05-3115:48:59,2024-01-0514:06:40,1
70393,550,40118,2023-12-31 19:16:41,2023-12-3119:17:12,,0
40607,336,25260,2022-08-30 19:07:42,2022-09-2820:29:40,,0
70349,223,40095,2021-12-29 17:38:44,2022-02-2716:48:53,2022-02-1311:32:36,1
19910,1331,11141,2024-01-06 15:50:21,2024-01-0816:31:19,,0
48004,311,28908,2024-04-07 13:58:20,2024-04-1719:43:24,,0
24338,387,14429,2023-06-27 21:19:38,2023-09-1115:11:02,2023-07-2511:25:00,1
23131,113,13703,2021-01-12 17:20:14,2021-01-1415:44:15,,0
57720,215,32504,2022-05-08 10:09:08,2022-08-0208:14:44,2022-07-0311:09:29,2
1955,849,1144,2021-03-21 16:17:55,2021-04-1911:41:45,,0
5606,1285,3068,2020-11-27 14:53:22,2020-12-3010:30:44,,0
99282,1263,55948,2020-01-07 18:09:16,2020-01-0819:44:50,,0
77665,43,43541,2021-12-19 19:02:30,2022-02-1410:03:28,2021-12-2813:47:28,0
47625,102,28695,2020-12-14 20:22:00,2021-01-0812:23:45,2022-08-1420:07:08,0
29031,1329,17719,2023-12-27 10:06:39,2024-01-1310:44:15,,0
98915,834,55706,2022-05-02 18:14:52,2022-06-1511:40:18,,0
35050,266,22027,2022-06-28 21:15:04,2022-11-2515:18:52,,0
46755,912,27615,2023-02-27 19:07:17,2023-05-0416:59:57,2023-03-1910:24:06,1
30808,834,19079,2022-05-30 17:36:46,2022-06-1511:40:29,,0
27423,579,16507,2022-05-31 21:37:21,2022-06-1518:00:26,,0
88755,1318,49890,2022-11-01 09:57:21,2022-12-0616:31:56,,0
81802,1191,45565,2024-08-24 19:44:49,2024-12-1119:02:29,2024-10-2017:03:54,2
50916,541,29765,2022-01-02 17:43:35,2022-02-1316:14:10,,0
100121,1320,56508,2020-12-19 20:20:50,2021-03-1514:36:07,2021-01-1214:44:19,1
17228,785,10053,2021-03-20 18:57:27,2021-04-1521:49:23,,0
81456,1435,45381,2024-03-26 17:22:19,2024-06-0321:21:24,2024-04-2517:01:57,1
73278,10,41776,2021-06-15 08:23:26,2021-11-0410:25:04,2021-10-1113:59:25,2
88738,552,49878,2022-10-12 08:23:40,2022-12-0414:06:35,,0
91158,372,51248,2024-06-02 10:16:07,2024-06-1816:10:27,,0
64983,1151,36556,2024-12-30 14:10:18,2024-12-3015:05:45,,0
54079,399,30746,2023-06-05 16:27:45,2023-10-2017:41:49,2023-09-2408:23:33,2
30365,402,18731,2021-12-11 17:40:40,2022-01-0521:56:52,,0
62680,1269,34894,2022-01-09 11:37:35,2022-03-1616:27:51,2022-02-1619:14:40,1
21665,1299,12818,2021-12-25 11:51:07,2022-01-1016:13:50,,0
31268,1197,19397,2024-03-22 10:48:12,2024-06-2117:43:50,2024-05-1608:11:51,2
93198,352,52296,2020-12-31 21:41:39,2021-01-0821:06:27,,0
94778,531,52897,2022-09-06 09:50:41,2022-09-1917:48:27,,0
33985,357,21364,2021-12-23 17:26:21,2022-02-1408:45:37,,0
85129,161,47745,2020-12-06 18:00:47,2020-12-2120:29:44,,0
65367,357,36829,2022-08-22 18:26:18,2022-08-2218:25:18,,0
82716,455,46051,2024-07-23 09:56:45,2024-10-2215:50:12,2024-09-1900:28:07,2
77706,258,43496,2022-06-07 20:38:38,2022-06-1018:59:21,2023-06-2114:25:00,0
89260,333,50178,2021-11-14 16:50:00,2021-12-1814:06:41,,0
7409,960,4108,2023-04-02 16:19:53,2023-05-0712:08:58,2023-05-0218:48:33,1
26224,91,15747,2020-08-24 16:31:37,2020-08-3109:37:02,,0
18013,1331,10491,2023-10-17 08:30:41,2023-10-2621:10:44,,0
48658,455,28652,2022-08-15 16:56:01,2022-08-2317:33:42,,0
2268,1267,1325,2021-11-15 19:25:00,2021-12-2313:44:13,,0
1432,305,836,2021-07-13 21:52:26,2021-07-2017:26:23,,0
82126,1029,45687,2024-01-20 21:10:18,2024-03-2117:38:22,2024-02-1711:18:21,1
10177,1085,5903,2023-03-12 19:26:01,2023-04-0511:23:07,,0
56515,1000,31618,2022-04-08 19:51:36,2022-06-0121:28:46,,0
68419,262,38772,2021-08-20 21:08:26,2021-10-1818:29:07,,0
93268,1086,52349,2024-04-25 17:43:07,2024-08-2417:07:27,2024-06-2212:21:09,2
88544,977,49753,2023-03-04 12:07:07,2023-04-2219:40:08,2023-12-1416:47:10,1
69058,1367,39212,2023-06-06 13:01:55,2023-10-1014:27:12,2023-09-2314:57:06,2
25513,41,15252,2020-12-27 13:26:58,2021-01-0415:45:40,2024-02-1812:12:47,0
42319,628,25910,2024-09-02 17:56:15,2024-10-1409:15:19,2024-09-3009:38:26,1
61891,883,34367,2020-01-11 15:16:35,2020-10-1014:47:56,2020-09-2515:43:25,2
28701,443,17473,2024-11-11 16:26:51,2024-11-1116:27:04,,0
53850,266,31050,2022-04-20 21:54:53,2022-05-1719:31:52,,0
34077,311,21419,2022-12-18 22:19:54,2022-12-1822:21:52,,0
72225,287,41357,2021-03-04 21:46:14,2021-06-0312:16:39,2021-04-2318:01:52,2
99846,321,56380,2020-09-22 18:47:36,2020-09-2218:47:39,,0
56087,383,31606,2021-06-06 08:11:20,2021-06-2907:53:17,,0
40309,311,25128,2022-08-23 19:37:44,2022-08-2521:31:12,,0
100424,114,56767,2021-11-07 09:25:22,2021-12-2613:16:23,2022-09-0322:36:17,1
33783,298,21204,2022-12-11 10:18:04,2023-02-2613:22:48,,0
7571,121,4216,2022-06-18 17:51:13,2022-06-1818:28:30,,0
77649,9,43531,2021-08-18 17:56:06,2021-10-1318:53:27,,0
24481,916,14500,2020-09-16 15:53:01,2020-10-2213:00:10,2020-10-0811:02:53,1
11337,734,6404,2024-12-27 09:16:13,,,0
14811,1367,8508,2022-05-31 21:43:50,2022-06-0121:05:44,,0
100635,767,56919,2020-09-29 16:02:35,2020-12-2315:57:45,2020-11-2109:32:52,2
59178,1102,32120,2023-10-24 09:54:58,2023-12-1214:04:40,2023-11-2022:54:37,1
19957,1331,11130,2024-10-13 13:46:08,2024-10-1517:40:13,,0
83518,372,46637,2020-11-29 14:22:23,2021-01-1808:38:36,2020-12-2318:16:45,1
43895,832,26410,2020-10-13 16:08:23,2020-11-1509:24:11,2020-11-0508:06:59,1
59725,49,33174,2020-08-27 16:37:38,2020-10-0313:20:45,2020-09-1909:18:47,1
1784,1231,1024,2024-03-15 19:26:17,2024-06-1419:44:54,2024-05-1317:44:48,2
32169,234,20071,2022-09-30 11:19:44,2022-11-1717:29:48,2022-10-2808:59:31,1
58596,597,32826,2022-11-19 17:35:18,2022-12-0521:52:49,,0
100227,336,56652,2022-02-17 20:01:49,2022-03-1510:00:26,,0
92282,1304,51683,2022-11-12 11:15:30,2023-02-2816:34:40,2024-12-2009:56:05,2
93736,553,52588,2023-11-14 21:50:24,2024-01-2014:03:43,2024-01-1022:53:29,2
31178,313,19321,2022-11-20 13:19:06,2022-11-2815:35:21,,0
57891,311,32122,2020-11-11 17:20:52,2020-12-1113:17:06,2020-12-1015:54:09,1
72785,365,41640,2024-04-17 12:47:00,2024-04-1713:38:06,,0
25696,786,15370,2020-12-26 19:22:05,2021-04-1916:30:33,2021-03-1621:08:03,2
27490,555,16635,2023-03-09 17:14:26,2023-06-0712:56:09,2023-05-0814:53:23,2
97633,912,54878,2021-07-18 17:01:37,2021-10-2713:01:07,2021-12-2410:46:29,2
37236,311,23421,2022-12-02 13:47:09,2022-12-0213:47:35,,0
16835,934,9782,2023-04-28 10:29:14,2023-06-0715:31:31,2023-05-1917:39:43,1
83460,1320,46591,2020-12-02 19:20:22,2020-12-1919:45:02,,0
72792,378,41629,2021-04-29 20:30:36,2021-06-0820:04:34,2021-05-2916:23:06,1
48871,521,29191,2023-04-20 11:11:09,2023-05-2520:54:49,2023-05-1123:05:24,1
67166,597,37997,2023-02-22 17:43:46,2023-02-2317:06:54,,0
17453,934,10173,2022-07-01 09:38:25,2022-09-1115:09:55,,0
18338,785,10681,2020-09-06 17:48:42,2020-12-0821:57:59,,0
56054,318,31749,2024-04-10 17:48:08,2024-06-0114:32:30,2024-05-0516:27:27,1
42181,596,25715,2023-05-25 18:09:10,2023-05-2817:20:27,,0
5216,4,2899,2022-05-11 19:09:46,2022-06-1717:38:03,,0
90311,896,50360,2020-09-11 18:44:47,2020-12-2314:17:10,2022-03-1408:57:55,2
89062,1262,50042,2020-10-14 16:38:58,2020-12-2509:18:07,,0
1293,318,748,2021-01-19 19:40:04,2021-03-0617:33:44,,0
99483,161,56093,2021-03-22 18:49:10,2021-04-1718:27:07,,0
25876,139,15504,2022-05-15 13:03:17,2022-05-2121:26:17,2022-06-1516:42:37,0
49830,1049,28364,2023-08-31 18:24:45,2023-09-1118:50:18,,0
77380,353,43339,2021-08-10 19:34:03,2021-10-1419:32:43,,0
90213,1352,50537,2023-05-10 19:03:55,2023-06-0818:04:32,2023-06-0714:33:10,1
77794,990,43604,2022-11-29 19:51:46,2022-12-1215:49:52,,0
17345,1331,10115,2021-01-07 10:58:55,2021-01-1510:19:04,,0
52476,117,30423,2021-07-24 16:44:54,2021-07-2617:24:51,,0
15727,677,9106,2023-09-22 20:43:25,2023-11-1210:36:17,2023-10-2110:20:26,1
76079,1051,42848,2023-03-08 15:54:20,2023-05-0512:13:25,,0
11988,300,6758,2024-05-14 10:42:04,2024-06-1312:52:44,,0
83867,186,46907,2021-12-29 13:13:19,2021-12-3010:10:05,2024-12-2416:28:42,0
13763,646,7857,2024-09-19 16:55:37,2024-12-1816:30:11,2024-11-0917:01:24,2
19355,1251,11359,2024-09-24 15:50:22,2024-10-2418:46:59,2024-10-2212:11:14,1
12285,943,6904,2022-06-21 19:33:49,2022-06-2817:10:50,,0
33233,1149,20811,2024-07-09 10:42:09,2024-10-2218:49:01,2024-09-2015:43:25,2
92280,1304,51622,2021-12-12 18:31:39,2022-04-1320:08:50,2024-12-2009:55:59,2
92542,694,51937,2024-07-23 15:52:48,2024-08-1909:00:59,,0
50513,420,29669,2024-04-21 16:30:27,2024-06-1617:13:38,2024-05-1907:31:57,1
88398,1375,49703,2023-11-24 19:14:02,2024-05-3115:47:42,2024-01-1902:04:46,2
77459,387,43430,2024-06-01 21:29:12,2024-06-1915:57:58,,0
52579,1304,30438,2021-04-02 11:19:30,2021-06-2718:45:44,2023-05-3015:00:14,2
4036,345,2289,2023-10-19 09:23:11,2023-12-0115:54:31,2023-11-1311:14:44,1
84060,950,47057,2021-04-22 13:08:22,2021-07-2016:34:30,2021-06-1219:52:37,2
83031,1168,46232,2023-12-10 18:11:22,2024-02-2516:57:37,2024-01-0616:57:58,1
70700,1320,40305,2022-10-06 15:15:47,2022-12-1116:06:40,2022-11-2521:49:42,2
22281,641,13243,2022-11-14 18:03:21,2022-11-1421:47:39,,0
31811,106,19800,2021-10-11 17:43:30,2021-12-1215:54:35,2021-11-0816:56:20,1
28397,800,17298,2021-05-13 17:32:14,2021-05-2215:17:01,,0
33342,929,20682,2020-11-27 17:52:54,2020-12-1812:05:20,,0
87240,852,48998,2021-07-02 20:50:03,2021-10-1211:18:12,,0
101872,1314,57790,2024-09-05 18:23:35,2024-12-0917:26:21,2024-11-0209:10:24,2
44081,911,25353,2020-12-24 10:29:50,2021-04-1821:04:17,2021-03-1912:46:51,2
74296,1043,42218,2024-03-26 21:11:59,2024-06-0211:22:18,2024-12-2314:32:48,1
52438,1062,30394,2022-12-11 13:31:51,2023-03-1709:46:31,,0
25746,786,15401,2020-09-28 18:19:35,2020-12-2619:21:04,2020-11-2117:56:09,2
64628,888,36284,2022-01-08 21:09:14,2022-02-2219:15:10,,0
1861,62,1071,2020-01-02 11:16:54,2020-01-0617:40:39,,0
73415,472,41822,2024-03-20 19:58:26,2024-05-0214:34:48,,0
69343,537,39389,2023-04-10 16:07:17,2023-05-0917:28:05,,0
28087,912,17101,2022-10-15 09:39:02,2023-02-2719:05:10,2023-03-1910:24:17,1
102189,1265,58023,2021-01-10 20:12:50,2021-01-1117:22:03,,0
37416,372,23538,2023-03-23 15:58:38,2023-06-1909:14:30,2023-05-1615:42:32,2
17826,1331,10225,2022-08-15 18:43:29,2022-08-1521:15:31,,0
11678,947,6565,2020-12-26 18:52:18,2020-12-2618:53:44,,0
94523,360,53116,2021-07-23 17:07:09,2021-08-1014:31:23,,0
70100,465,39931,2023-11-10 17:33:36,2024-01-1319:15:23,2023-12-0809:55:38,1
46693,859,27141,2020-11-06 13:50:03,2020-11-0920:04:22,,0
2350,32,1363,2021-04-21 13:28:24,2021-06-0109:40:23,2021-05-1409:12:11,1
72176,37,41316,2021-06-07 16:44:23,2021-08-2520:14:40,2021-07-0318:37:55,1
37519,363,23618,2022-11-30 16:17:45,2022-12-1115:17:57,,0
89803,213,50374,2021-10-19 16:36:34,2021-10-2710:43:55,2022-03-2612:29:32,0
13140,950,7474,2021-05-06 18:48:26,2021-05-0620:05:16,,0
53908,302,31073,2022-09-27 20:12:36,2022-11-2317:21:33,2022-11-2114:40:08,2
81620,372,45486,2024-02-25 20:56:35,2024-02-2921:38:13,,0
45368,365,27309,2024-04-18 13:04:12,2024-04-1817:41:35,,0
4547,492,2452,2024-05-28 21:52:24,2024-05-2821:52:59,,0
55291,1138,30651,2023-10-17 20:27:47,2023-10-2120:24:27,,0
37342,858,23478,2020-12-16 20:06:52,2021-03-1914:44:23,2021-01-1320:10:18,1
60033,791,33348,2021-04-15 12:01:14,2021-04-1512:01:25,,0
88547,977,49744,2023-10-21 12:23:50,2024-01-1608:54:04,2023-12-1416:47:15,2
62707,1269,34907,2022-12-04 15:14:35,2023-04-2816:36:51,2023-03-2519:28:41,2
11868,311,6680,2024-03-29 20:08:40,2024-05-0719:57:43,2024-04-2610:42:31,1
55939,25,31706,2022-05-05 18:34:59,2022-06-0209:53:49,2022-10-0410:03:25,0
17818,1331,10314,2022-11-24 15:19:56,2022-11-2416:35:28,,0
59169,1049,32487,2023-08-21 17:54:40,2023-10-2317:39:40,2023-09-1810:47:00,1
13392,1331,7618,2023-12-16 08:30:46,2024-01-0818:34:15,,0
39128,71,24449,2021-03-19 09:14:42,2021-03-1914:41:01,,0
37062,19,23290,2021-11-16 17:33:51,2021-12-2118:09:44,,0
24728,934,14682,2020-12-14 18:01:04,2021-01-0419:30:51,,0
6765,687,3706,2024-12-25 19:18:27,,,0
3122,886,1835,2021-12-29 21:08:12,2022-05-2810:13:08,,0
61531,953,34111,2020-11-26 18:08:27,2021-01-1813:35:00,,0
79497,1310,44381,2021-12-07 08:43:23,2022-03-1919:10:42,2022-11-1117:50:39,1
95247,809,53469,2021-08-16 20:40:27,2021-10-3017:45:00,2021-10-1010:14:46,1
31456,360,19530,2021-07-22 15:03:35,2021-07-3016:23:22,,0
64442,443,36145,2023-02-25 10:54:48,2023-04-2518:35:30,2023-03-2522:58:18,1
33395,1149,20934,2024-11-09 13:53:08,2024-12-1618:46:15,,0
11440,1112,6140,2022-12-06 18:14:44,2022-12-0908:54:14,,0
16963,1331,9917,2021-10-16 15:08:02,2021-10-1918:31:59,,0
78689,1019,44048,2023-08-31 11:38:49,2023-10-0119:23:17,2023-09-2821:08:45,1
92410,1075,51812,2023-02-24 18:17:31,2023-03-2720:32:52,2023-03-1909:36:14,1
42485,673,25964,2024-07-16 15:07:46,2024-08-0209:34:21,,0
3979,86,2247,2021-03-22 15:38:38,2021-06-0916:34:17,2021-05-1716:07:35,2
101013,529,57169,2023-11-08 18:11:50,2023-12-2911:41:53,2023-12-0613:03:14,1
9492,943,5444,2021-01-04 12:42:47,2021-03-1414:35:54,,0
2260,1267,1320,2022-01-13 11:26:35,2022-06-0114:33:58,,0
3356,271,1987,2022-03-05 16:29:13,2022-04-0614:53:05,,0
79471,1025,44374,2022-09-20 17:53:33,2022-10-2516:37:09,,0
29659,1299,18199,2020-10-19 09:58:52,2020-10-2012:06:30,,0
5006,30,2750,2022-05-03 14:24:39,2022-05-2615:52:13,,0
33239,1149,20292,2024-07-09 10:43:21,2024-10-2218:51:35,2024-09-2015:43:53,2
61267,340,34059,2023-05-14 23:00:54,2023-10-2319:21:18,2023-06-0617:04:13,1
56566,1125,31782,2023-05-27 19:29:39,2023-06-2315:11:29,2024-09-2214:09:19,2
16518,141,9663,2021-12-13 11:19:27,2021-12-3108:37:12,2024-03-2519:57:16,0
30051,1299,18477,2021-01-28 16:36:50,2021-03-2012:16:11,,0
31838,365,19826,2024-05-19 15:48:15,2024-05-1915:49:40,,0
80533,669,44938,2023-04-19 21:53:00,2023-05-1320:35:46,,0
11752,1308,6181,2020-08-28 14:51:53,2020-10-2721:21:05,2020-09-1910:16:46,1
71641,896,40958,2020-09-11 19:50:41,2020-09-2417:25:36,,0
53548,14,30733,2021-10-25 15:18:32,2021-12-0413:37:51,,0
35902,322,22673,2023-06-17 21:56:21,2023-08-2616:18:27,,0
27426,579,16665,2022-06-15 17:59:46,2022-06-1521:32:25,,0
60650,733,33693,2023-11-08 18:45:15,2023-12-1817:54:31,2023-12-0611:14:43,1
1828,943,1044,2022-01-12 19:58:11,2022-02-2718:48:25,,0
62004,954,34368,2022-09-19 16:09:50,2022-11-0118:09:52,2022-10-1808:47:48,1
87235,852,49010,2020-12-13 11:35:27,2021-04-1613:18:15,,0
27195,110,16529,2021-12-16 21:10:51,2021-12-1820:11:33,2024-04-2721:47:58,0
54616,547,30785,2023-08-24 16:45:34,2023-09-2415:55:05,,0
81045,465,45198,2023-12-23 14:20:05,2024-03-1719:26:49,2024-02-2017:28:40,2
41193,502,25520,2022-05-29 21:10:31,2022-06-2609:58:36,,0
70750,365,40343,2024-04-17 12:46:52,2024-04-1713:38:34,,0
18694,1332,10909,2020-09-16 20:25:48,2020-09-2320:41:39,,0
75784,658,42655,2023-10-16 20:56:48,2024-01-1414:52:44,2023-12-1314:22:12,2
26132,383,15674,2021-08-03 16:10:20,2021-08-0821:49:16,,0
56631,617,31920,2024-01-21 17:55:40,2024-02-1812:44:41,,0
78286,910,43811,2020-09-14 18:07:38,2020-12-0211:21:49,2020-11-0518:08:22,2
32581,165,20359,2020-01-04 21:45:26,2020-09-2509:27:56,,0
100260,1361,56666,2024-12-25 15:50:49,,,0
34425,316,21611,2022-11-17 21:14:33,2022-12-1215:08:58,2022-12-1214:52:07,1
17384,785,10144,2021-03-20 18:57:13,2021-04-1521:50:07,,0
2333,1327,1355,2020-12-13 14:51:04,2021-01-0418:11:16,,0
87679,294,49283,2023-02-25 20:00:21,2023-04-2815:41:53,2023-03-2318:42:08,1
74596,354,42400,2021-06-30 16:43:03,2021-07-1118:09:36,,0
92951,967,52181,2023-08-06 16:51:00,2023-09-2215:49:05,,0
22207,322,13188,2023-04-25 20:43:00,2023-04-3016:57:09,,0
29667,1086,18204,2023-10-12 18:24:47,2023-12-2209:29:51,2024-08-2416:53:18,2
21420,534,12683,2022-12-17 16:20:04,2023-03-0607:23:52,,0
47408,309,28578,2020-11-08 16:56:58,2020-11-0818:55:21,,0
44695,311,26822,2022-08-19 12:06:23,2022-09-0121:56:18,,0
55797,119,31639,2020-01-14 15:30:32,2020-08-2514:17:42,,0
36357,960,22955,2022-12-01 11:14:13,2023-03-2621:24:40,2023-03-2117:38:13,2
42760,992,24509,2021-11-24 16:10:08,2021-12-0509:35:08,,0
68885,849,39100,2020-10-13 14:58:14,2020-11-0311:48:41,,0
26775,628,16212,2023-09-26 13:05:49,2023-12-0309:41:53,2023-11-2314:22:51,2
63499,445,35486,2022-06-16 09:22:59,2022-08-0719:15:58,2022-09-1913:04:44,1
29624,361,18170,2020-10-20 15:13:57,2020-12-0717:05:12,2020-11-1508:39:57,1
64144,1148,35910,2024-08-24 17:15:19,2024-11-2112:50:07,2024-10-2118:54:12,2
51715,387,30087,2023-09-27 21:39:32,2023-12-2912:34:15,2023-11-2222:20:42,2
98028,114,55120,2021-03-25 13:29:16,2021-04-2515:56:38,,0
76809,541,43116,2022-02-25 20:33:35,2022-04-2013:06:11,2022-03-2517:26:26,1
43087,1123,24860,2023-07-27 16:51:38,2023-08-3115:00:55,2023-08-2414:44:18,1
21235,1331,12549,2021-05-21 16:09:48,2021-08-2014:37:07,2021-07-1121:40:55,2
45686,380,27535,2021-03-17 21:23:25,2021-04-0712:14:51,,0
79390,359,44330,2021-03-22 18:26:31,2021-04-2915:44:02,,0
8753,121,4936,2022-05-05 14:09:06,2022-05-0718:09:52,,0
24412,1085,14471,2023-11-03 18:44:08,2023-11-0321:49:58,,0
29085,365,17763,2023-09-25 12:50:47,2023-09-2819:44:22,,0
5475,1225,3027,2024-05-18 17:36:44,2024-06-2017:01:36,,0
572,548,316,2024-10-31 16:53:28,,2024-11-2618:35:54,1
47477,352,28456,2021-05-25 18:14:22,2021-07-1312:55:40,2021-06-2021:38:58,1
101877,1314,57797,2024-10-22 10:29:59,,2024-12-1909:54:05,2
92619,352,51972,2022-03-08 14:12:03,2022-05-0210:40:44,2022-04-0210:31:02,1
63641,504,35531,2023-03-01 21:55:01,2023-03-0321:32:07,,0
67611,645,38196,2024-12-11 18:19:02,,,0
97317,1304,54705,2022-08-16 09:07:52,2022-11-1211:13:06,2024-12-2009:56:01,2
23444,316,13884,2024-04-15 18:13:03,2024-06-2020:45:26,2024-05-1411:51:09,1
102364,402,58158,2020-10-17 09:35:31,2020-12-1617:39:10,2020-12-1419:45:12,2
97872,352,55014,2021-10-12 18:13:45,2021-12-0920:48:15,2021-11-0509:03:13,1
14059,432,8030,2022-05-04 14:22:20,2022-05-1818:03:51,,0
